neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_gremlin_p_1K,titan_bdb_untyped_p_1K,titan_bdb_typed_p_1K,neo4j_cypher_p_10K,neo4j_gremlin_p_10K,titan_bdb_untyped,titan_bdb_typed_p_10K
783529275,1587821,535501,707752,802955325,1676549,814773,835354,833932775,793465,583940,636985
718742370,1479605,530745,660487,874579756,6277743,4621548,4689960,835384025,692848,664627,1153895
701147617,1384736,513014,1072223,836848064,1023575,578386,563290,863615722,718752,536360,1023023
772932695,1303825,534442,723544,750939146,2172741,712468,717865,802259303,928831,719357,1110644
783666226,2784376,954353,1006501,750024285,1083805,553094,551496,843655579,549788,524205,842036
744446679,1381229,798008,613799,747671260,3904098,3905070,4069377,825530225,1014102,614958,1058102
698093791,1204735,794769,632801,775460955,2144432,1066241,1076317,781168112,1018173,573546,984430
752508848,2850924,1095112,994022,823915539,861033,570393,574289,811891269,9482423,8993365,8842082
749523432,2139331,584496,650097,911390523,2347663,1652019,1677763,807988762,867452,816184,890016
746297787,2236119,568498,1022036,816154863,970471,583033,583634,797077382,689644,752390,768184
706984244,2166808,545252,1188747,881721693,1166472,630554,572833,841895013,973819,858362,959829
770095407,3694912,888318,1270344,827888967,2177129,1611140,1578299,903713311,1906235,1799400,1845420
740613765,3715103,753655,1063145,779890541,1944541,1278401,1282509,846680047,2220542,1674442,1626385
711445480,1325560,601824,883370,774290128,1492997,876394,860076,855868958,1799365,1211554,1177573
690887591,1186565,842938,741090,819902950,2211522,1372842,1273963,799846841,717539,730620,730515
745468221,1182084,830652,566041,835952045,1639398,730457,763035,828680247,911617,717369,734412
755990028,2944819,1521658,1078287,803661829,982251,574617,580588,1052875010,2258969,1252011,1256177
720485392,989566,604836,545753,831521255,1934537,722279,747727,1055723667,606426,523441,554419
701485989,1355817,507768,593109,860096120,904853,555919,604831,848093085,1063189,523641,517679
696065253,1189268,515441,592481,889865705,645562,588140,578884,839200752,2273124,1339537,1314121
733102589,1106615,526494,555224,836604723,2168059,744706,709836,794110773,1190760,1105274,1063172
783749136,9637270,6701980,6624782,756691910,1638294,935105,934694,790522389,1366888,1176133,1209433
721713751,648548,546186,596991,764219646,932892,571648,575220,808440249,554613,551041,533652
696390555,641143,500390,679785,782821474,1224719,735641,754908,788304428,656890,619103,613917
737393816,586759,504122,516972,807266008,1789541,940501,1076154,796229584,567127,546597,517660
776963665,807169,516977,573146,836353235,1016243,615594,880426,827464779,1353322,1455807,1480639
770971291,600849,496876,531184,815487417,1056790,996104,1542809,844101433,2172832,1043114,999103
701636346,816854,516362,553866,874510119,729057,567106,735154,826726286,2408847,1913823,1845076
770157936,840196,514332,551784,776783953,1010511,696733,758482,1183751569,7364544,3896435,3975160
822057980,691537,516997,571693,747171217,1463087,860455,907909,838790332,1829913,645898,728419
740991358,571756,522415,536869,751170351,804967,537570,585811,839841774,907053,531749,632541
726226502,1595605,846333,967990,787996363,2452895,2638688,2749005,851360542,1064239,738876,1052509
747661668,1739959,654405,788001,782004254,822002,735175,783157,874819898,1176232,1131439,1990848
758350693,978755,704687,753560,799943801,866670,701303,696607,836064528,1444567,1303627,2047112
728511734,1871464,885590,871444,808675036,1316450,1002033,1050659,807606348,1397324,601631,726948
672079225,655986,551845,564184,851141828,884666,667948,674936,809340827,693297,615267,800981
751689113,1099849,726248,767777,847597049,724898,550497,574348,1010086818,1217292731,4293738705,4168816747
755228497,1128581,758247,784872,827069899,1398802,874382,893530,794273923,1253319,880225,869831
737435147,702103,504676,504853,834278207,9114826,8325690,8806981,789516318,832639,750427,727175
694586513,625995,484084,488523,772859632,646014,590987,637903,825946331,807470,675799,667900
752482749,793601,495119,498066,763886020,710895,546919,637441,870996144,474666,443772,474004
754533980,6079374,482299,484481,809385303,7043573,9170267,8026532,839505021,1108004,787015,776666
747874583,1273707,500940,597264,839810848,1071064,918940,588017,835671452,1080963,829043,786997
700729881,709686,752716,503949,824760793,3317825,1737089,1162295,856559385,674079,678709,662077
715472055,684009,779909,524421,793893621,709916,843047,554989,834936065,13503140,10666229,10561644
725652231,782515,773389,512330,830575225,628302,1108967,552009,849009795,493192,471788,412860
785989088,564042,522781,531627,807539733,1382564,1278316,1066534,865306269,941374,640597,612441
721972232,784915,587219,555870,745348146,14417772,1381119,1614102,830335561,367815,376887,597334
698101383,614488,534015,530977,749829885,734062,573468,685183,880542085,704404,414276,415516
724678859,741630,524718,536497,765923038,1743710,1093740,996544,809761703,860358,649268,642276
752828274,1114873,648247,686752,822925128,2407752,2518536,1373090,781398530,543237,7772651,431885
707920928,1804583,670786,666371,789937833,742065,1026500,631506,803940411,931194,802483,761125
687591507,1893328,766479,817729,808117533,744731,734161,593312,767193108,353393,387361,382863
705413848,838561,481849,771826,784609584,817447,560865,541941,802051054,337927,376618,380606
731892920,592326,492698,896601,797535570,3283756,4913039,3491008,824694267,723027,528504,557390
752287184,1420132,668812,1073363,772168082,710673,978014,567261,867702250,1164421,620713,633397
732703448,991024,695762,1076327,744724580,735145,867516,550570,943873644,3277050,3347325,3422473
698852713,757664,509594,744465,764546714,684417,834358,558752,857125016,378275,374161,408859
744546169,1542527,785803,1055957,800614171,677045,886520,621580,859759624,383501,348796,385851
759373877,934924,573691,697665,797773551,717136,847189,698774,805182793,670508,510733,505045
701493375,1116570,981687,1044201,786463454,892998,1221307,1189272,822590914,806505,853514,590350
710402411,733803,1156143,683616,792599009,1603258,1365958,1380211,863401859,417588,632257,390103
739971962,681470,1006315,636718,839592049,759234,1009892,1160066,854936317,481951,580800,408589
743484904,731853,1055993,611225,818677600,669886,990146,1067544,811013024,395624,602373,436559
695994534,862248,1018840,580453,756348375,728615,981983,1327201,862897911,750632,980974,668899
706441345,701459,1061513,646675,836856657,1705865,1845205,2124794,790335760,408610,623405,442364
750722649,1000402,1110354,554785,739839976,3064393,1747020,1684151,784877075,477872,660166,401880
746844377,1162639,1054572,650940,814198851,1869846,1778277,1550766,765836186,1429664,1282266,879130
696055607,1594957,1076919,853315,793154999,803428,864593,799566,774258843,935686,1016171,655916
729709025,1142274,1040452,692171,785795769,705763,950693,976081,899558639,955592,1301215,825917
734966004,4565244,1963805,1361135,799469305,820552,953318,733388,830746033,641775,816969,525141
743644716,1497582,839921,584634,822860603,1193139,1195980,780576,848241038,4703843,6172836,4296211
705526667,1301138,892209,580455,789220105,770389,1010553,883665,823018174,636401,701004,617984
711973007,3015369,746757,667869,762025885,722218,1075250,988032,842398756,476827,350158,425716
763332271,1084727,584356,563542,751014601,1218322,1266604,1142320,921025601,683538,702525,807608
739797274,652854,526410,633780,826248300,709590,702775,821879,824595429,594227,544789,693627
730486545,1103470,540495,613386,816503761,737889,582954,866501,872278972,388405,513410,471448
703595764,821801,540290,613599,871875799,947025,574744,862201,916077898,589528,507304,616485
738963688,1384585,696928,750056,790003404,753382,613574,881530,836155480,336507,539421,425384
748391813,1583637,683733,749704,818022752,861594,620381,687837,817819768,923012,1041836,714891
717849827,930046,541182,558530,799032556,1763033,1095467,1087166,912061577,1201935,1213891,993668
722778690,858111,753345,601353,778344480,1154633,850919,857063,779037309,547385,550271,627962
738218637,1297211,696798,751544,739904000,897776,601302,777777,789366398,367323,352187,413209
739120243,1075426,474626,535752,761623645,803494,750244,949343,767881748,639883,443318,488494
734798681,669233,487847,538736,774984186,531153,526488,537590,803735237,776941,534898,637996
