neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_gremlin_p_1K,titan_bdb_untyped_p_1K,titan_bdb_typed_p_1K,neo4j_cypher_p_10K,neo4j_gremlin_p_10K,titan_bdb_untyped,titan_bdb_typed_p_10K
698687709,584421,438610,463938,780012593,474929,446745,824969,850205183,678976,510134,459949
712586571,651301,434536,446448,815707608,678909,437312,877148,791623255,833254,594153,537197
724471947,511294,441824,467440,893123984,593172,456204,878505,937252940,2343433,2428090,2277735
754451093,599138,426991,448774,793892716,1465383,754037,1371395,776150445,737473,611827,570123
701871260,507717,449243,456830,872744288,458557,437235,908586,968449489,1772905,2204451,2352301
689122973,580736,424934,451004,796837503,3814613,3420143,6027745,821484487,431360,459660,445390
744819304,1289352,571462,593145,827972479,523889,430188,860693,821626216,287405,304978,300675
750787736,556309,447486,453411,743648434,479620,460849,574797,845132211,2926588,1398191,1259805
736668150,484281,432102,434110,794080329,840486,635173,712277,861166598,1509525,771783,722478
685168034,418040,445049,472148,811909272,1109414,696254,845568,848218131,400939,463683,320794
755633594,489571,416915,437047,821582116,749463,587076,622970,821004915,1155815,1415127,817384
724732327,699760,442643,466652,821826965,912265,591281,662861,856769442,728074,738089,463701
724178456,973661,748182,795608,819892948,662456,563918,598464,841690833,386363,483657,336703
714211235,558690,466728,460413,852839352,492034,474718,501378,861669453,1023072,1024677,1429711
729418996,539888,440702,475099,791448947,697699,429159,462570,837012593,555814,417136,646361
760276485,706765,439887,465029,762613923,1218553,609578,673830,830990467,442421,455282,811205
725951691,676113,420486,452455,771487972,1565586,747151,755602,832752067,1107122,1499848,1907376
698242830,1015367,573085,609917,788347543,412100,446322,477008,761754975,1332350,1343332,1381821
707724592,818132,432096,456113,827598651,456800,430936,547304,823543345,1215327,935882,1265153
726888404,779478,599090,616816,820833307,510502,417950,458197,948112499,6404563,19625935,7912229
782652282,689956,495105,431764,784605890,943955,446318,458172,857769197,336245,411655,409421
695877283,394223,430671,457860,862204703,491044,439852,447959,828848362,1267063,1340658,1210572
724974436,476343,447224,449126,763577980,557903,466361,480727,817104944,714254,460407,478763
850156504,595223,529730,465913,804589334,468906,468111,482378,869101319,915770,469824,423248
762683073,476034,441568,465717,766306642,660079,597852,600052,826284272,1198860,749071,690133
686576408,482114,467274,559943,779848939,1423711,1130695,1243502,837690575,1371947,870844,832641
709350890,520397,460804,477436,798068401,722799,414794,431503,871218521,1758268,973742,972063
734272561,831112,466170,466685,814879413,1214477,903505,1378298,846441589,521042,476707,445515
748936094,485742,457872,451552,798997140,504735,411379,491859,836913739,888630,1032519,679826
739162128,587973,445503,463331,821253793,980901,564018,602395,799282986,471046,468687,400610
718109120,888131,10894256,593765,843516942,631569,422725,444202,781482300,391310,384910,307827
733065445,764255,1235669,689678,831772722,634401,430807,441059,776099549,1097239,627818,550518
766809738,960980,712333,478769,759964284,462988,423025,438131,784380646,713995,561765,519717
722846270,846541,792705,436071,753406759,593788,549511,578588,795144150,748422,910652,850013
689242437,747899,649159,465911,784394779,526412,415663,433834,799499648,541484,458100,442249
725067396,459555,596222,462974,800321410,612434,531520,435018,868343113,318563,337124,471284
734634752,730435,467501,441870,805445421,1424993,588727,610493,865289643,1126337,612718,611453
752923724,788792,608621,568673,793234367,1695717,772544,756015,814072006,597039,494779,464470
695973272,727086,591757,592325,848647596,1487397,697873,689296,860387156,419334,370499,371517
733929811,600545,596606,663694,787088487,793547,452852,453819,812810236,1200439,455407,427528
759208726,382999,428289,743242,770933686,1256225,595166,601108,836542142,506048,431028,400814
736290804,494945,455970,785445,755212725,1903983,878397,890745,826396443,371928,392498,316895
683865988,1659194,441503,730283,777204386,808916,426705,450009,840877494,370165,530139,310376
718112828,514456,436918,660932,793116445,744008,433688,483188,853010918,408504,465520,312383
741206772,2840499,1152637,1797467,836967539,851002,569709,587746,846204137,351036,429542,327125
737425733,562871,434289,777433,806782255,563023,430460,436135,815076163,489785,363145,315510
714423015,521830,460495,774371,824402275,1085822,828282,880263,808568804,341310,387991,370494
696206469,562621,561875,840135,813772866,1175540,739423,781941,806354675,2367123,2619074,2272082
730269698,1331550,768308,1189836,790560567,824307,567310,583587,776456095,1110360,781119,677545
746494471,389600,403817,687363,736660711,860358,567090,582661,794883029,386685,583015,362567
714125105,692960,439156,874592,757338661,1924741,1999540,2141995,906320502,530126,595216,534860
683094318,438073,400102,751529,778706288,541361,427652,441808,840891744,489545,406008,363475
747402112,668839,462796,551098,833191105,544802,422503,435526,822100923,408657,360261,322425
749086366,1006532,423464,521083,803900097,751527,432139,438848,818640322,751639,790873,576800
743651004,1470085,1023320,1087467,820391336,720748,628796,585146,829047501,403129,615529,307410
679243237,472365,426369,438676,804862733,483899,648282,423453,979038635,8527654,783394,671792
726623707,616646,511774,450739,819406488,482890,680014,451904,942456921,819572,622899,488486
744722216,620875,463806,464825,823513581,485933,470203,453125,854145110,1022176,753376,603648
754652192,1531724,572160,605428,763845350,561781,489992,666915,854992780,1664081,812893,687222
699056925,469297,427253,423614,1229071457,514943,443428,510997,956769522,1092646,557253,553977
706036342,732454,563978,606325,1113879448,568328,479338,460651,836545329,720283,384645,410970
726297880,992399,578881,549053,1139855997,930542,680669,633179,778819818,482878,408311,442073
769869485,639015,453090,450907,795348366,496438,454523,498985,787656202,977167,891219,731146
774784201,496695,545935,600264,810235076,383669,413345,444736,825777039,2308243,908896,804322
688567276,838602,604069,628961,831103674,1363633,734051,759761,797835348,1150826,406289,356033
699556909,527297,421274,433339,771756075,918901,715038,714460,805666245,388564,326853,286279
715454215,506093,445435,433521,873290525,560324,562232,426208,1085455887,2755226,2715600,2259832
753362248,1150471,573982,564898,924223862,4513259,5728767,5742719,830975390,456278,351072,278867
699085325,600149,555437,566341,762125085,787762,687792,704002,840347527,1504730,1165937,709139
717205051,625154,458415,431859,746047221,860773,751458,666288,827200967,451654,370910,298496
732493663,474716,421289,426783,797042289,738537,755493,954807,821904377,608128,402693,529388
789522462,1184337,702611,712708,800592921,580391,611167,598293,830625188,680337,507985,451886
747225342,610297,438559,461472,835536724,422895,439054,421571,816315834,523385,399786,357472
693137753,442077,433050,511567,870797194,676068,465964,439254,914333346,342748,327450,298756
723068771,525201,486394,507149,829125879,942960,753813,812867,848192626,698709,621482,527656
749496627,401412,468329,475788,971163450,557401,416697,447135,959019585,1460094,891639,810636
778350072,1279180,853029,952434,791455189,1612755,1844546,1767331,812995038,400440,310983,298952
725458590,495702,442896,522027,783902587,1031485,542739,543378,771723078,468323,329535,304699
740971338,471092,423092,511227,789822671,634458,613413,635933,812280662,374543,326979,327363
934759546,458710,470271,511636,901065844,1628805,1132846,1165363,839261105,823349,442955,409888
773251122,998746,570862,648309,1512337076,958154,916610,953776,790518941,581657,393277,381837
714059793,458858,471325,552417,1223584252,464549,432600,434109,780364711,1235905,748769,712340
717481038,605754,468178,558964,1072724843,955531,577496,636098,805921853,2483883,2692491,2446455
784233183,625155,457646,533259,810899727,525123,431753,433828,822292026,1047532,694799,647465
749946809,2551867,1140527,1263154,799830618,1265635,913376,907740,846430518,350648,302977,304999
849158947,934115,433976,501187,831230761,604472,434079,423852,833210241,1135651,576668,540127
931709042,1862329,730893,817197,819263000,501737,430971,440297,904100750,1812395,975727,953491
933540721,862466,429469,505311,794809324,823553,582653,594998,2346924385,1921274,1706493,1714817
991404442,3237138,1040846,1148520,826654157,863979,695299,732378,811325497,377710,311292,300598
782100133,994644,471543,550946,791294539,462833,430670,459843,837177825,468650,302685,299533
696627748,2065030,733710,833967,1316598486,586248,422835,429594,833256490,584316,386538,367780
719748017,1740959,601268,694072,1173376607,889729,572688,567462,822936227,3739027,3671753,3386495
750748238,914706,432857,514381,880388861,995859,733820,716181,780971158,793990,623940,460729
742189094,824247,483516,493038,1131296797,444072,434788,439512,786096984,696373,860802,670524
723499814,1670821,835646,937887,820228596,1785073,990345,1027014,791360222,500025,612665,475683
728815149,1042340,695811,823304,772544547,1668947,897609,900786,786001049,489272,585950,405588
733455609,527014,425815,507327,791866633,772951,646982,918434,826295639,1577459,520566,408841
755634385,731272,409471,466859,780557406,701034,468874,791224,790730320,1815909,765941,656822
724009157,601795,412139,498928,823073403,504387,9182147,870801,800537412,394400,330777,301981
1034801945,1849716,808903,905476,822098800,437753,531042,660744,841101638,730419,695718,441094
1063880713,1173987,688249,770984,904114033,1577856,1793453,2865942,849967900,748978,623430,481115
972085582,832159,434321,516060,791405451,821988,549056,781675,912634510,821920,792986,650402
1169373737,1382189,568042,656325,811582639,526741,428173,500645,827081586,346436,317004,299951
799524862,825910,414564,467312,781631801,518236,449718,448674,821590886,746897,298940,297818
697377752,863629,559480,649090,792783745,1050569,571663,581508,843281808,335448,292660,287039
735397638,1533550,440055,467764,818789820,529173,448127,443322,852147044,329063,301012,299782
776138740,646738,714969,680425,834409205,842700,437851,467903,848188603,369298,369863,346435
767459516,1192790,823595,954190,763905838,560608,469927,590623,793755634,366028,358488,293763
749450735,802540,425883,493474,758185421,663956,646486,647768,858282522,342082,302767,301230
754338955,844576,580084,620085,784173221,622536,453150,440655,921841294,1180500,826753,823889
720242929,796390,690165,788382,771432202,861889,580262,552051,763125682,603025,467202,466258
836782265,772085,557159,621450,859449104,518413,448560,437307,896105114,887724,754903,760686
756356318,696276,435229,547720,851134086,507709,426507,444100,775312746,426064,329088,474981
757479583,645426,422795,437155,809919636,923252,578926,584828,786016101,496725,400291,577957
760561641,1129862,597711,596416,842757575,3354382,1301142,1441019,798760842,889488,488424,801467
693793640,660569,568181,588127,804370477,529442,413189,588990,836029293,349503,307012,529860
715525394,568271,536697,543747,789410331,427326,397043,435487,846410016,506362,473942,712183
740754009,382885,394822,418868,775509312,626612,575719,603887,948914476,466040,462908,744978
805178719,665032,418497,464947,741744777,643966,432854,479395,836751499,486483,506616,654044
697352150,461313,410998,422602,800727767,605793,410376,441735,960009119,5682204,5720753,7530517
699504703,852823,569214,571738,775255163,1330471,540801,575763,892140345,1589106,743211,887247
731584109,435970,420808,431094,819481115,1178264,626866,690553,850361432,397859,301628,335516
737164101,727662,409009,414322,801855088,884345,417524,454266,860654938,973312,598404,611123
714120067,764043,435196,460554,827708089,837976,432028,462214,833993677,399812,284704,373963
695760437,455540,440133,439704,766607737,740277,416878,539735,843519971,676673,378671,385591
744458059,471459,462560,444060,764165972,858886,405837,427919,794026317,771565,727033,729113
781639980,778045,632499,592067,766872825,1786150,549960,603947,818594331,405430,296226,306646
713219236,537292,461487,439207,788960590,1043960,422119,459164,962500489,2843069,2991293,2842294
693774754,1105134,603737,569836,807083358,1417281,519696,575352,809425616,1874454,1173426,944419
739566030,454286,454676,440153,833367303,669546,407217,418812,804860119,597328,312013,360381
753202495,658747,434588,437994,805893942,1052524,684298,706497,809564359,3593879,2967604,2714252
765507237,458539,474805,429342,839549200,1373145,908766,958484,964659856,4945327,2762710,2538988
714200139,654562,422805,412988,793493908,1180711,678100,692963,862678757,1707865,675671,631149
728313993,825370,471430,470473,769574714,1661307,875380,922405,857580177,629421,593990,520239
731047273,705752,602962,614100,745078029,760313,410692,418943,1002885796,816807,704820,606081
797325839,632993,434123,446197,726434798,568029,506025,521385,842243022,874784,571936,541925
718826172,409511,416391,428608,749139389,563184,426790,432198,877797516,734102,597085,537433
729134418,1112927,410032,423036,810794781,628540,423303,456004,831071743,367981,313406,281635
770058817,1418031,558238,559120,784709094,878900,729671,751616,836702783,385116,343911,268589
762609943,985973,434978,489652,818299233,1827850,1013428,1017182,832838048,1561929,1348965,1148129
707560386,968606,416013,472745,865174822,817206,543738,560794,788695613,391156,303772,327210
718903796,781987,417617,427491,781397267,605994,408483,420196,783403987,435550,293699,283816
754650222,1080197,425511,426450,799933533,703006,453578,435407,790647960,618315,310133,287230
759389032,1233694,440534,438411,740244456,847929,561879,11153403,775004744,924639,464932,360415
751823215,2420457,793555,869677,764606486,554058,422168,539334,834808652,2370098,1200185,871084
695015802,1436814,436208,415175,759996050,541584,470882,610986,815527614,836598,586499,408123
745436636,1294057,417864,424563,855222081,632759,545896,537775,813095796,397913,338866,268502
749371880,910670,549068,562464,782517105,647002,426305,443093,871362641,459318,315082,268462
751534334,995417,434007,438774,862652385,485092,420633,459498,821072888,888912,653696,538773
720128532,5094243,3826971,3457044,845508743,399709,394201,419918,850093277,596663,425198,296000
708712278,454701,870587,657200,847753484,547691,413867,426314,800998931,1216784,650540,508088
752200673,375758,822471,783452,749667450,527940,407564,417515,840995458,457342,481972,283885
780123235,1082123,1228524,1269597,750856270,416924,403825,441855,848679454,1143641,744164,561683
698587849,799989,890213,941342,752471626,637368,420390,528334,815303471,331903,341048,277148
697644045,623888,759558,733148,786798830,1381045,986483,1712955,830508490,419795,328118,297924
766792151,509620,1014852,890805,779653571,494877,422436,883502,805728868,489360,366582,280799
754169858,1828787,1802204,1837785,802727521,773162,549472,1010096,780403061,944623,362293,278258
710512155,511941,929291,957918,807246100,7534971,403829,677770,794448952,618085,679173,469862
711425693,678715,971309,801864,820091229,6088252,4911740,8141505,789611237,295642,356950,278993
760053418,591097,920284,1059544,786524983,1341952,914615,1669015,822116327,1912868,821447,694817
770373373,1160979,1105234,1224701,766397982,1699069,1552280,2532396,860867855,2560286,1064907,1025000
721517138,497952,744362,828556,747664200,1126136,652798,1322978,856918788,1467583,1118081,1004247
701725080,609889,992953,799058,757697552,497513,686608,1032672,852491917,377128,300691,298552
716927220,469904,829888,846098,789627904,1001770,1093902,2544969,830818069,1189102,733952,666584
746863982,376848,788733,753095,780950471,635408,600455,1784127,867303291,1902915,927056,847658
749546831,822263,864161,1029731,791916419,436712,728686,1811440,860372494,588094,314618,307119
703053066,5139740,5524372,5887792,801203312,3981555,5430417,4310565,855115171,320257,324882,286747
727209549,579671,461879,539879,877533568,1030004,1312768,632206,860159762,339286,344096,305998
742173659,640934,420055,415010,811579662,578440,753394,428300,862042923,559083,429938,357305
758284204,785462,604539,604284,764394119,842164,803405,454514,824813293,542799,442857,281238
698087714,471742,441860,423905,754238866,964372,1595339,893565,826575385,580567,592597,333842
732516217,405174,421408,408230,800781520,656598,961998,573670,806657589,318066,480550,268833
745841661,987668,445049,460363,771558509,1331356,795720,602068,782461322,317390,465177,271701
751749356,478171,435291,480315,800848136,581828,838886,496399,775196989,428131,447841,276595
754111299,771429,456726,433642,791897907,753013,959697,584339,798799088,2371112,2141932,1707134
670441395,609298,432336,411934,851065407,1081800,913431,591928,838495224,1335203,821451,697753
713065784,561682,468235,420550,817423621,776091,850080,575668,820037673,419378,408466,360376
744940963,963792,680458,722194,795196731,470596,616631,416166,844365431,1781106,920247,866879
782323927,473449,423505,500935,745488748,599126,859624,544400,839425815,511243,299238,362087
713807155,364073,392455,420182,757079229,1331135,1176919,820297,894511470,2180359,825903,1147065
705300665,508993,429323,457217,789381303,454402,525548,413866,826477229,616002,383267,578245
740733457,418311,445779,432988,859719794,1839202,2005028,1985980,848142389,450224,304768,339756
763674734,873637,793902,801733,788016809,471101,456935,444374,887007830,523432,485084,501226
718585198,547011,431869,421501,807163286,591887,449437,460833,871210648,293027,316619,349633
692864040,5390194,408475,410459,830476516,407889,421543,418531,867693426,842959,373769,398800
716733580,511248,406071,422917,781435192,905926,652848,645972,817328799,611315,523761,515578
727635594,592046,484553,415244,756519625,703034,431528,414912,802111053,344087,494749,329609
782850078,867501,685550,667894,769574832,473749,440381,446866,795405926,404709,332387,314188
742385144,814275,561240,409781,842065659,3190886,3698986,5195685,784651796,912773,614233,621464
685793300,607507,431820,426667,797232658,495009,464145,905909,871732531,983881,624123,724662
707422914,764399,415781,415589,777735250,1071996,763006,1080029,798186794,544155,296679,436517
745875235,795436,417173,459535,799224829,505815,617766,828344,814326175,588030,382559,410326
781664014,501385,427914,418066,859822322,819793,687830,1086177,832098605,352492,292901,305914
717363675,643219,433100,433480,775480453,2692309,1913136,2381185,851302125,376490,282382,410865
745036602,1277291,537417,548438,769750241,994359,933941,1071457,875670950,5244731,4471074,14027592
761033676,598130,426833,407936,752077649,888716,841689,1058953,833555415,380203,323120,328592
735314358,616748,490537,472557,787805301,518230,649163,796524,825350888,860493,480496,430504
702780686,369291,593167,504293,771974600,732611,874537,1044590,911797878,973127,1153215,801694
717586349,1981205,2389565,2226781,787054080,727252,694791,851060,886943341,1735283,1518309,911144
727797075,384101,567339,513002,787639122,852181,985723,988836,848740859,1660663,1358159,783458
756818634,554721,785715,410263,822966077,657581,779298,776607,836837529,507464,423778,265614
731875982,1056594,1015399,591158,839670889,1490931,774393,988882,816104989,972364,475335,447303
709185331,678030,833948,470063,845794898,1202252,772796,790310,837320005,2089540,1969808,1814171
747452529,2456511,1573918,938274,756799622,827980,749218,772171,816451449,1071766,571538,587717
768686218,2232145,1993373,1495295,770401986,656839,779297,778545,806495716,459471,297485,295929
761597342,856652,608851,499273,745567481,635176,750045,821891,827429007,1069245,605101,622027
677601312,659613,541581,469212,779327642,791133,727449,779145,855530089,418584,300221,322786
758409275,2298417,836307,767281,795703571,784534,798780,774211,834038185,1338092,477547,457801
729695434,804866,512720,478604,811719590,626650,713429,732906,823326311,1009650,605123,627856
747098910,860533,510160,447376,792896201,846772,911034,1028468,821998547,964811,753955,743825
688586057,625325,489209,494295,862076305,633498,991499,1087426,845916664,12839476,376395,355889
726961494,392116,457148,485381,807154034,944236,916697,1030481,810790084,890897,297298,298681
748633603,864129,778186,636593,760628578,1753916,1700045,1699895,852691155,1526128,1411696,1305535
744050495,484217,549366,442811,741328208,679121,796547,785916,857328692,503705,378343,405075
721790112,911444,803316,438250,757925612,685346,779907,804375,1033288253,706191,433033,471975
746497137,974874,1016293,729238,766570562,1523275,1425867,1448137,1297717072,1244365,721843,724283
765489784,1403186,837610,735904,815892887,1153432,992669,1124148,1265653390,2314715,2569068,2420556
726373659,772510,508042,438972,802062190,1935781,1941418,2333969,1092942289,2359757,2490761,2570217
761131897,1042739,636826,610722,825363785,929476,825727,1010468,961739452,1967457,1891076,2642238
740969348,463358,472420,471898,812614740,506322,673782,868395,805049888,1375920,14922867,1439815
757336082,606819,532596,466207,802686025,580713,612769,925288,814817469,588249,417314,789083
857403886,574034,505358,467183,774276677,602638,585432,880998,882410937,2749377,1495696,2209752
718952893,851703,545750,462091,732876836,691614,782634,1144763,828588458,664043,381873,696512
788948387,625310,497160,441079,762210607,419759,563339,869526,886396389,2004533,895330,1701360
1220936009,946000,473377,463498,804313611,635955,587913,1079050,833783842,2672590,1684781,2622280
999332128,785987,495641,451308,805439567,455498,589900,791299,846620335,719914,418577,713776
732605887,817355,619907,577873,777538363,522357,570943,638549,822539893,1081945,471832,947268
752210154,678654,491773,440192,842081217,504919,556980,635384,818319754,987643,449824,665176
759667132,740818,624684,569986,777120873,498361,602510,604682,833450297,1478734,725232,903419
709462702,613757,499919,435361,799136565,827522,808313,850443,838967481,531507,333714,441896
727524632,770654,655875,569152,729666605,504979,649291,633934,907700764,576489,325089,512665
718310833,563428,582983,433148,789096790,1167013,1091174,1061617,845904707,2990997,1401733,1642030
733252130,722799,777680,717882,821174340,597558,652338,788087,929811115,2576234,1096657,992529
706799991,634975,537708,461307,801800715,641414,657298,688324,1001232863,2064659,669017,589727
735124727,505186,516355,458198,789322416,728813,651373,646255,916984288,2189064,1416739,1368483
736827267,442425,482105,480981,819838781,800092,654402,616062,1045364348,1921396,766367,705272
754926042,1669931,640812,593848,802117562,931452,674775,632123,812809317,1090428,593008,490346
703545058,787591,458355,475585,815828114,1623455,1065520,1022923,847043195,1198737,737753,508375
729341047,551721,474836,518491,750497299,1147606,890953,864652,829811807,1181045,554880,428968
743641303,1056749,597892,591661,787505566,816471,665809,644433,847848161,792049,550264,447455
764340757,678280,444165,487676,747097178,1026529,846482,824978,834003589,1210810,853548,729316
705566664,687834,571715,576206,780128773,1002574,627608,499665,870726258,2001777,813467,673642
722329668,583021,503829,457832,802033122,1138909,614797,429178,835326745,2473687,625328,519716
754580287,516143,482663,457625,826515326,1034043,753193,510295,826469577,585607,327596,286726
770764959,426695,438703,476667,817446817,2681276,1431351,902185,851327846,411925,370399,277631
692456575,494649,466777,467839,798974673,2417070,984152,598046,815062549,1978908,980174,864055
741800724,752466,517666,488034,772256124,1349616,1069141,576665,844458014,572317,462866,295091
778715579,1103595,502346,8266218,765042459,1060077,553164,454891,894566612,2118658,1381899,1257567
804689188,2463375,944007,1085059,792615688,838619,554850,488084,807144061,2281066,2785756,2208643
742104472,845864,495149,562139,746195292,769423,518851,501780,797316986,2598222,3236699,2810107
720475164,1346253,882027,1015203,838624546,936973,693825,681929,798598594,361987,614656,346679
747094748,1133405,1245449,1148265,864154916,759167,499554,483014,910260418,1724774,2181640,1797422
772944867,625841,1121727,958160,822415555,1051444,1049519,654121,814126030,592763,504112,468463
746876641,964611,1162281,1077056,790270451,804574,833196,624619,853740327,266410,311275,303032
738106210,646758,925862,866221,843190422,880260,639131,606434,811187140,544927,503423,464928
761862401,661711,960017,1012450,807104867,478453,466891,485375,832387634,495605,308569,294103
788947705,2296913,2509683,2144841,767455224,2201547,1310040,1133332,831575235,424009,374716,300378
731403039,1665792,1258205,1446434,739926709,855561,728604,675989,837442653,923383,515815,481430
716751339,601605,913635,822322,758267445,693973,686276,621442,848459427,1491169,1198715,1097681
747086307,713274,982236,941954,772301051,545685,642823,538182,852240646,288251,425126,508261
751415077,831445,752889,881376,833821464,614310,508023,478932,844599176,1703091,769164,1316613
794222747,2158269,1170803,1753395,810595153,629397,757876,520291,864218433,1162264,1120910,1245553
706555239,619430,582212,561860,862183078,539134,811476,493887,807368099,341065,584974,375236
933679708,1192412,811878,818280,809874159,508885,853881,529276,779735102,570283,496464,372260
1069959821,1375006,727699,653223,842511668,1139505,1240427,814914,801327580,299408,341747,344479
1051590681,991010,584540,463566,769146334,2026872,1759831,1193783,785604078,1255227,844677,744465
981525147,3903642,1973174,2074894,761016205,1036860,1218711,694480,796705273,405446,436907,417667
736580955,567959,650760,606806,737160509,732210,773361,520919,816932809,1310529,916150,819526
755973983,816872,816301,675322,805931715,1374359,1585850,1284489,833017535,510094,697593,386636
721961693,698874,574039,550228,795927882,3708916,5682496,4056589,811516529,899252,844651,463454
707533320,1559060,738841,542894,790230173,1604591,710284,601258,862675395,974922,755297,405940
746377614,860058,560387,525610,800975183,1016397,627495,586639,849953192,581610,734689,383114
755885018,838305,486772,485415,858174974,2151249,1470027,1141866,836581043,346257,642481,295477
744262830,1436480,504401,527981,813097596,594516,664968,579560,815505620,427158,621115,474443
718209104,1161852,559721,634481,780632847,879325,626612,561394,826893290,554721,758739,525387
753986049,1121912,583045,673236,734360332,1190112,876092,656471,1026873003,984853,1088102,632414
745981703,629481,636198,500441,721312604,540087,683231,540108,825016059,550662,768534,430858
754058266,11511081,8456115,8153409,770710016,604712,618120,556732,842528368,877327,669122,406067
726184925,762171,640842,583727,820907299,2063354,1840822,1449736,798262917,1428979,1062659,683756
738349114,619345,590496,479858,792224946,896601,660302,520777,820484447,1460079,904894,451716
748425638,434989,523590,435960,778782909,1473920,1158314,764091,790428691,446282,736956,413529
719311298,3121225,1547830,1427959,875716031,767631,1082810,707094,816839589,2518015,1914474,1278835
721375168,582733,630526,542400,786589242,1064413,1078845,885603,770136414,481553,518469,394721
757608664,890459,626201,544534,759255339,962202,899078,670204,855045604,735389,565181,429981
803378689,630432,612928,514647,732568776,519142,803024,532720,823568594,707728,599928,470932
737443197,531082,562008,472219,753577109,813338,849846,626116,986076121,827185,857609,719831
687902788,493601,539731,454563,770945393,982961,772526,716877,866790500,342996,358281,301420
768732627,1232837,688599,685584,835451580,1024630,1318828,1058917,826672453,327367,354135,303194
743455121,519234,567802,581797,802733860,599380,668514,598986,1091370749,439246,429177,354453
764242148,574521,541031,491673,848524980,1537335,1221589,985930,1110329391,943189,555878,493463
685051564,657384,536649,445655,813869745,620350,610096,533678,852617294,740933,471323,384332
741253106,1491449,915118,711566,808208092,497283,588770,503671,840632002,301625,393248,295489
733058478,1044974,618359,453197,747413954,542571,620590,489963,870193151,707198,468908,433376
734632547,1242070,913963,686468,781037980,501878,574175,468745,831888166,760440,375611,318129
688670410,514317,565946,452083,728865581,834877,671491,570310,787234445,645738,754851,670878
752397071,582414,569255,453735,807917336,1779185,1528649,1147865,819248337,1443842,1115698,1018987
730026477,670343,716454,636296,806784936,4067130,3888387,4369574,835654176,2126816,1392133,1262732
746075042,424135,556484,493091,786455184,856385,513075,713312,843408877,693757,853305,762747
709532325,570297,555275,450942,819304463,1709654,1175921,1396236,817544371,790626,498296,410226
700694429,511287,551828,425597,825391173,591527,391932,518620,827206424,2941572,945519,828370
724747781,1505635,1009880,888168,804619796,725754,561136,693438,854756294,902290,521799,372346
779619278,575818,558087,462986,790847409,742684,393567,531036,867724195,486500,366638,293615
720365239,4708362,5247457,4603209,744856600,459938,397467,600296,1240438341,1385636,975570,823400
712027121,911759,544483,432370,730851866,650164,407662,587932,1043452113,968588,875492,565905
746279050,2306265,1066304,895874,802735926,523037,388064,879401,872180203,878391,722154,601680
798747812,854651,509497,383091,802733982,832789,404545,1023284,873581491,367436,383367,299615
716243303,887077,544586,470447,807946920,827433,406578,859593,851058034,351262,378745,329813
715303138,570502,528087,404294,791228368,2504305,922482,1708141,855426513,638697,518627,462871
731997597,1427210,959254,871951,866488856,1673348,852910,1717828,817600228,493301,507668,466975
756006278,649706,517557,455251,803584163,399226,418085,960960,802321854,553106,653987,585171
697751633,781508,673974,627255,754248834,639003,455613,902820,802256479,736167,340683,302537
719297224,1111546,506602,521015,743336913,1240282,1082281,1473455,782893590,595157,354616,295944
714482160,1431968,455155,432972,752775290,562897,706041,1030874,790521022,653255,431736,405067
780976856,979776,10638615,483806,793077407,1841749,1380660,1703622,784782711,2602722,885865,786218
724148775,936277,521365,435065,800580784,864680,669673,978682,892016506,1206988,529736,462010
716305883,704197,557677,488848,811235711,2835592,1043862,1283665,865587756,643558,409804,372884
727325555,1019121,606287,510147,806871446,2766991,1854102,1970243,857213253,1030842,547010,464823
758711689,2089243,1068448,973452,850660628,1342881,964485,1005605,818345173,564222,348752,308650
701188297,900097,571426,479932,835871115,976682,575088,749326,834757963,492065,337114,299672
693233219,1023041,517881,449271,765362280,1670635,1111605,1185076,841285823,1122097,679950,567905
725610162,925591,892548,482763,752484181,1444352,797647,808041,968823822,2556815,1388819,1174564
761755657,1053790,764957,430252,745410482,851026,614736,451143,882316977,2001584,1110174,956506
743540301,707838,784077,453629,863015202,658889,429681,400480,816913159,760401,594850,274352
701197210,1137416,951571,442443,803689157,794312,408696,409939,911688528,1896771,2122777,1584979
719682121,1137404,1016317,453510,842131806,1307817,549888,558580,867679239,878681,1036464,871477
761174441,862836,1109394,564958,820105778,956200,430301,407560,798699856,3175013,2497653,2029852
763763853,1569375,1161709,556981,833384820,1104104,444057,417647,795121099,444310,724185,474877
703155382,1037482,1034443,385328,853548465,734241,628083,440048,835942765,1632427,2044253,1637948
734510714,1346697,1023483,457430,753489935,8919350,6861777,6524129,799402649,693988,838987,764988
723667634,670485,907565,395494,786885219,1052513,647103,556434,824673168,411390,638984,487609
743874008,1060374,1067781,405746,767413798,1243437,766833,561831,848865931,470029,996096,707240
722251912,726317,848389,387990,797670483,1314446,803620,653324,919837779,1710785,1489100,1527324
704701479,1134367,890848,585761,819560612,2926113,1214608,1297283,918843150,544626,839021,906652
771305081,516839,783321,397003,873793250,696064,476847,454840,879507566,461819,915279,970587
746627517,1773280,1073244,759922,813307436,705380,384649,412378,881581143,1579103,2794514,2969149
723682829,590531,488459,382481,825476091,695161,393497,432617,919857417,289584,360073,372351
691480708,494945,456839,382676,769210352,10534022,6951141,7521570,943181097,950997,1337637,1136827
734857116,863197,497517,404884,861421550,812102,404114,454562,1039686750,364493,384691,351020
