neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_cypher_10K
37286718,21904067,20326433,19935375,39544431,47396043
42414507,14482851,11558433,10638013,41905442,45137365
34887768,1244765145,1375156055,1230769823,39622373,38467373
37139305,190919492,193349649,183545222,49508269,44005466
36085076,33676716,36189587,30307857,38346597,45207781
38238745,66066567,73952009,61674527,46478623,41735885
37456173,650132105,749345830,690650452,41379611,43034641
38132979,18853231,17958090,16900682,37168990,37745532
38032901,204127277,220462417,253523838,43009928,45088107
39336759,3056433580,3436779760,2918592957,38562454,38564810
39611615,10795586985,13925337089,10495423041,49665198,40941777
35564131,531025794,573284958,496953513,36197929,41424127
38191422,299938344,292355701,269818096,39584122,42336561
34923436,2349301155,2691093949,2278472555,41207727,45904393
38639202,3359999740,3757959322,3177965843,42905570,41597008
39925385,193263875,189234618,171432925,41279767,44108941
36824470,21194628,19612056,20980848,48220492,37118617
38832332,12987779127,17512012296,13368018928,45611166,41899169
36273260,1134112883,1253027332,1128387690,46544554,51281168
37555468,349871596,364810356,345125040,43649738,44755452
37498308,34918563,32277883,27911404,40836180,43657262
35184799,165575192,188506486,168179341,47617379,38678950
39827196,230259106,243757025,224372593,42858932,48507783
37387924,1168880860,1250808229,1109622153,38726308,38989833
37668781,78546503,75213374,73874069,42470877,45415991
35011024,267125235,299162582,275511175,46375554,49600008
41214276,731579927,811601599,729640810,37802399,45058923
37317840,120714218,103762767,95781059,43067587,43511018
41882335,61535133,65254644,68906139,39672133,39128445
36533127,944985592,932063799,872516761,41947221,44679705
34857491,22688915,25202213,22164845,49260922,45634424
39000480,7634158039,8212550238,6730567014,42702169,42941543
34968225,705202927,747983795,711465054,42805439,48774665
40444134,2210081120,2640085072,2257210189,38499044,39225267
37873285,34649855,29302926,38066940,58450899,44519974
39071469,1204172221,1195802830,1051630832,36761499,40127830
37516049,819487632,772980698,681123332,41714683,46045400
41355880,421435816,456141497,425776352,38855113,44330444
39809278,785586718,867515436,788587089,42991921,38202134
35967916,1817775778,2005912147,1817711609,41450396,58201756
41421308,388011785,358789792,330702698,37640511,36685436
40968620,11584821192,14980395944,11421070883,43978410,48233733
35671719,60653333,61009514,60350135,44532293,45136701
37559573,3461836699,3765292492,3125469585,50852126,37451007
40654319,403353872,423414488,401821188,36854988,43124398
38378024,120841552,123733607,110651876,41955432,38243225
34895069,47802643,40388466,34575699,43719800,48251026
39513325,178986837,188351797,179983885,39135442,38607963
39377617,10109191714,13433824327,10325810116,41889148,50112848
35280674,192688933,219471053,203228136,38213619,46001942
37961410,5250717510,6393946343,5208188660,41428396,44328578
35358226,2439120831,2789974403,2365768680,36685771,43122350
37702929,163897846,170043364,154153189,50129482,41065292
36269719,1338866275,1431084999,1264882148,40816732,43553925
42611184,1561952848,1801130839,1550312335,38165900,38764494
37438303,4560531,5360113,18075130,48281001,43866261
35525050,208047466,205023297,178264025,41688089,47137451
52954554,231054572,234537744,207638619,45456098,41326774
34047578,1117598361,1129925232,1006353864,42802231,43139329
37624856,73022343,83704731,83017058,50936475,38163513
35539058,2151797096,2523149160,2291272294,42360902,49906396
38557183,374490460,405104379,355043946,40248366,46367878
42857207,608715387,705238140,620621105,42185086,55941377
39034297,488327540,527020837,465079293,38313726,44880872
40036139,5195637128,6311567660,5009311837,42408371,41661476
37734530,258386271,271875899,244068119,47793737,50488102
38749645,408848148,418844717,374179910,37754748,42593201
35435614,286696559,313108399,286415289,42824870,38678804
42612109,164698446,163672787,146895181,37347739,52016673
37910367,146852811,146520599,136850545,41070133,40259045
36800790,300563541,357416109,339650290,54796665,45416904
40564837,11292806,12435016,10181216,42470565,38979987
35160558,7484490179,9439785636,7474472484,44744880,44950617
43416866,372369059,406183051,364624176,42951989,47819678
37124416,317323393,370661389,330256483,44371833,36891170
37901271,3269212327,3959025032,3258325672,38432837,58200980
38072586,781665012,836751345,759887418,44599875,37765915
36138082,167918985,195100360,194681803,37393045,44868870
42083612,4693174285,5347744371,4426102025,41715958,43258453
36228459,44792917,54181766,34712421,43402418,38439608
37608254,3893746228,4496335032,3919649935,38004723,43282137
35447308,17207779869,19956155972,18911945362,47170546,36448424
37515597,1796025739,2032192206,1669683933,40034817,44967361
37560135,544370356,509205752,495221585,46175842,38122586
41685228,652673278,602971221,589972280,37103171,49507864
37452405,38540560,31256611,30149390,43526215,43119342
36792800,1093885076,1092048284,1056474740,42831872,38483917
37130948,1703991738,1565879572,1527853896,55431215,51335357
39206870,5500700086,5328798719,5171083619,41352531,38519079
41833902,87549799,109381807,95904995,39263653,43659835
37348936,7340079098,7338290273,6952709477,41113580,37243891
33864555,2615169365,2845139525,2581467331,44721757,60642392
41152400,559752523,658361873,529969932,40453231,53434544
37215746,27973682,34648050,26194342,41340843,39187796
38048539,914688257,1097705931,868899785,41868102,46510828
34819843,292156914,344097524,288703636,46912529,39282429
36869262,258556797,305026905,241733833,37691767,44446628
43645548,2889815723,3471725973,2768092573,48807605,39863904
35961157,1957976236,2335472586,1892368835,44018284,51454041
39223519,7085308043,9367108599,6800598267,44961342,50479626
36737038,22948070956,27124611410,18695869484,41260430,46007065
42197929,5952465690,8394178258,5454569421,40692645,47036240
35751964,17485136,20844464,15441728,40595304,37671449
42191764,4115456679,6290227151,3924716482,43228654,42971290
36923914,9522367,10113870,7006732,44668336,38223777
34385981,1814657740,2385415968,1730508243,44870554,43109788
38808771,1461999824,1875268306,1485304835,42481337,43846106
35630337,164291922,189036751,162423814,51507895,38568936
38211801,84801192,94744450,83192337,36215442,43751009
36892826,656156474,711650971,611456075,47908507,36726856
35507545,14688882482,23828748721,15240919233,37555083,52562965
43571827,2425369761,2829140584,2229599904,49006644,39617297
34787816,13770642086,20641014469,13140421016,41137335,43220049
36882096,1387188456,1626734004,1283766217,43658957,42641845
40817441,655739826,707420952,588776496,41374451,46638105
37346814,72963618,75980249,66621528,37585746,43024890
40249668,1780347699,2262432427,1736230565,47927775,42940563
35434592,1213311515,1333700913,1080079843,37220396,59986428
42006719,1095285536,1188105919,1024382395,48687786,37853598
37516067,452662042,548875576,441525760,42643159,44233041
39715456,5298348456,7339031292,4862053678,39571291,44586996
36020725,12459505870,20035389730,12038946971,50428173,42663536
41359138,1342399656,1611864732,1268794496,53916365,43020270
38131701,2717747416,3755687704,2785739081,42121243,38452863
37569562,21716059,19027127,18729558,39430474,49449762
38799458,126889090,148057309,120811219,43107761,45374003
33984833,727154291,862574454,713829732,39799637,39766397
42371030,73892252913,151052024091,106288227433,39555926,44237061
37597732,4025679930,5329459902,3745117105,40901195,38901061
38647685,1100585880,1210405124,1015383351,38070590,53973737
38431734,214918381,223464172,196467151,46939085,38770165
35180147,1902668013,2208022423,1722055437,37065353,43876967
39083236,77325924,85196872,86505123,43211307,46550544
36457185,363251358,404438044,328986549,41380062,36677716
41878283,1121941716,1282173068,1058373990,37243208,47249059
35213189,5202522533,7671244512,5143006253,41888000,36819167
39052286,4431220650,6126899181,4286855600,39249563,43793803
44627172,12577339,10053141,8324624,40908003,37087793
34650990,4384049018,5893184889,4113736108,37795290,43379259
38179429,180040609,149477465,141135590,39614134,45984935
41120958,76655392,78935049,72347818,40589828,47493912
39004563,4041656823,4240394069,3926232452,38272984,47702111
35879915,453858014,454576388,448808875,44249919,37654416
40477269,1468721898,1400757821,1382245778,37338117,48391094
38280074,32575848,27377561,26537171,43210570,39967173
38414371,102629961,71329163,85742125,39040794,45496973
48070088,419773762,321649043,366873537,46060277,43261112
46329840,171765945,168674566,167129614,46275202,47436796
40799767,700412989,690801897,671959767,39803752,43509457
35113849,64751763,59869435,57746770,44272437,46239510
45059729,17881300362,16601913790,15701936609,45273470,45635717
50315960,22867213187,20885128990,19983514723,48579400,57179219
36963578,203175148,205452927,200657289,43694994,37066444
45080258,45689053,31080450,43275371,45680166,45047781
40843733,26560940,21146759,20607029,42682099,40732684
41671139,140666605,136856373,120824121,40836126,43347132
35015714,1600044551,1602721392,1537256425,40459183,49496358
36476351,15068666,14932504,14475918,45274681,42621253
39336023,403744765,393628111,376485425,59489883,52406894
35570316,185644780,195118477,188405470,44895457,50788808
39331052,479666800,478449253,472243192,36557260,45654049
37172254,1428939233,1249194809,1204932552,53167494,38885583
40269130,967225529,952627639,912022597,36139645,44978002
39488239,551303261,538937668,512048268,44870140,43384463
37310107,372978169,366291596,365771775,37124517,42834113
37039170,45300394,41824872,40670293,48896722,45006274
35999938,3901525763,3698655911,3614149553,42645843,37691996
44667527,473016715,468665382,452824688,39654308,52028671
39145635,335450764,289443784,290890034,57975039,37798799
40037579,1999745147,2109300045,2026670980,46985076,43722106
35149500,463787513,441250976,425066226,41379990,39579927
38646243,430147498,461511311,444478400,38557337,42765310
43602627,389344698,362537619,349721660,43252938,104954891
35515866,1812741372,1756084889,1690892066,47972410,45412091
37956714,3514652188,3320746040,3209298203,37222663,38172206
36634569,2266542687,2403160199,2343145520,58919028,44394667
43479719,154071747,129268974,125946936,43308315,38834669
40552384,24752509,17642354,23184937,48170626,48953334
38691067,2573263448,2497780713,2419216168,37756004,39493281
39666512,58369369,58614589,57375895,46724205,46342506
35235103,24345635009,27692414092,25405801970,40864111,46400118
43371455,661809330,658225522,633799247,36579661,37489178
37592823,1063674485,1060556225,1025041585,49695060,45305661
39312121,39371175,35478766,34863693,39050810,42384774
34782203,228219858,217434017,211135784,43372558,43042142
37053305,316920450,304724503,301477642,38553518,41431451
37285808,56030527,38544274,37516322,48701804,45117579
37039850,1084977044,1096090791,1061409426,42359629,45855920
37573320,13976316171,15517974037,15239130971,38449466,37454106
34557360,39901209,20537577,21076837,46158047,45839851
38472940,1013859217,982110711,990641998,70019926,37228621
34259123,330379657,277205714,275981575,56480735,57125435
37446491,727484832,661526985,643790194,47948180,41666906
38504556,7115315187,7269250527,7179539831,39825507,49221274
34164666,328433523,331494874,334698824,40717423,43660486
40694915,112858905,112081426,106794046,38948251,42652086
35737187,1398972884,1307394170,1273742271,48822222,47267849
40908267,5252382533,5348461312,5064536841,37651700,38284775
36770166,65130225,67330489,64983617,41655896,43469710
36742180,372256235,319438256,314907817,44231453,45020394
40761430,111368396,115140072,106517035,42307949,38176420
35793831,820957348,766176928,738483222,42257395,44141870
42658703,285062862,311229771,301979894,40147206,38324992
37091003,508523436,496598251,478681932,42241581,48924978
42870902,1871823893,1787534809,1756073082,36021448,45280500
40241150,4817072,6043610,5784486,41817020,37938352
35089798,7070016764,6930225191,6689484330,39091263,46629275
39227553,593841316,561082510,551493528,41081976,37978286
34554307,732369091,704060283,674066866,41344704,43557965
44929687,3578660789,3500219396,3439877633,42514287,38785597
59387634,63547534,66002133,65030018,43384187,53471814
42889181,17115208465,21157513620,20964043000,46246694,51427099
40370287,393179363,375625417,364890587,47665359,40498331
38868279,502900864,509907626,509390264,50002291,44774959
40862257,1268152065,1252148435,1218523316,37532909,41882265
33600818,119702775,112177423,105989204,48253750,50300307
37601524,53123135,47693030,46828621,40129784,40382928
35565672,3164028446,2952253977,2923007801,42941628,46187596
45335547,2893570424,2499322922,2458594041,40156507,45753793
39318317,1332752453,1333107950,1292892449,46424379,39840477
34808474,3969550698,3870990237,3819643649,45656574,52844785
40617543,11609911686,12252255935,12202179138,37102421,37361707
35245533,1858904717,1670765255,1640717440,49639204,54100615
36976673,57652705,42304070,41762477,41884838,39278770
34094541,114865862,110192109,109167207,42531836,42617950
39640572,358599332,350850635,336202372,38159896,46102116
38046315,3019925221,2946296672,2881636453,47675370,40161848
35792371,7036063,5928938,5860523,55376293,51955584
37308599,106761147,90523839,84855143,43011976,39053229
34264865,1622158640,1582407319,1566391123,40939296,43094981
38027650,3678333628,3548499966,3590657146,39248615,43774026
36084723,3060465138,2988512558,2957480577,40920784,36788332
38629374,4358781194,4114608788,4012830604,37587933,54859901
38902293,15142843,17468728,12338957,46537123,37921678
35428204,442903473,464552981,449653271,46322827,48542875
42172505,246290380,224206187,232469669,37977552,38512347
36214261,6011764842,5947821223,5812296775,46100209,55332695
42933558,208844202,188608138,188247957,39506414,47353238
39294696,437109313,407882612,388672823,42758302,37381686
36611928,17666072,13003976,12068889,37084845,45358914
37444530,12151997046,12999715464,12308639846,49073270,37356337
35521588,1313200217,1336367954,1696268583,41916867,50818968
36847843,710561623,694434179,821769715,37414707,64847967
35241889,171702768,155643434,164034555,42959081,52544517
37093035,1088347851,1106512231,1350686040,41277461,45181402
35328917,3970517945,3962661848,3978190344,53988585,37347581
41357722,594981572,564312059,549727665,38608485,45904787
41811754,1735763630,1848006432,1814979305,46608011,41648123
36343968,205908195,188331845,189984663,48348117,43787400
36783618,907717167,940849271,908960563,41668107,38186592
33664205,642742085,569090882,549879286,44022846,45660234
39999616,10396366121,11744092384,10224438852,38628689,44484368
35556832,423317895,433616091,407653954,48461592,39526920
39327861,4533719588,4735310116,4257060274,38944068,45289270
37931138,72055650,86104994,77268669,44973971,38002420
36016247,324574986,316947384,306005403,42950193,44891653
41941814,2292779,3111682,3171697,35405705,38503564
44098860,174639930,168163650,173279665,47954850,50766529
42759326,319147497,337775798,320475535,37856135,45596368
34399053,2001746551,1769518396,1838002109,41832673,46982848
47755642,418750898,418791038,403889284,40957071,42529750
36552221,2849046,3227396,3271847,38404262,39256360
36260923,9434488,7900968,7766091,52580333,64583982
36921453,213717370,199715111,196017138,41467564,44124560
35487369,359428663,402021976,385975776,52565352,39016135
