neo4j_cypher_nocache,neo4j_cypher,titan_bdb_untyped,titan_bdb_typed,titan_bdb_typed_nocache
31586745,30012495,451513,456171,490196
32031444,27393052,327076,359667,382808
27042671,24766337,340007,366980,377161
24685163,27100878,198213,207441,221191
25699908,35562876,212142,192332,219927
24720572,170633,203060,204705,209015
206145,25342505,357137,406187,390512
27215443,27081431,207574,205313,215434
28334116,145302,222694,216544,219031
209908,25157461,274300,410140,459694
25510467,27541980,241964,381625,363592
26172355,24487000,300050,579907,421668
34022924,26481617,212374,416097,305923
25367635,26396541,223706,433884,339005
24165388,24883333,261001,503446,421034
26790755,28199294,140775,235150,217504
31067891,35979721,128316,201544,210155
24364701,28311753,126316,222906,219888
30533519,24068148,305806,491797,453471
28296929,142109,144146,270288,203646
209298,25483067,302344,487109,321858
25228582,26193071,200753,493989,234770
27079151,25864361,129146,239222,147440
26813970,35946082,411061,513773,312807
27306548,34495410,271194,480477,308386
24505766,26322116,268492,509979,304381
25497627,141835,135231,281976,150955
215665,24393053,249604,654071,269634
29731452,154505,146992,242389,148580
227841,134972,131262,230152,140478
204648,29679049,274589,432616,277553
25261083,23719265,198236,333526,212287
27562839,25569602,213133,282097,218337
25292033,28558846,264045,373381,253518
29430969,24587691,132970,199607,145124
24486157,32769425,125503,187605,142068
30585250,30580156,172825,214533,144257
25635468,152920,131939,177680,137801
196949,24773583,269571,486832,260756
25909543,23782068,139585,228290,139156
24421244,145533,129861,195103,139988
240769,136301,126985,206555,140821
189335,27150813,246725,309870,275728
32522667,135559,131207,246392,144166
223194,28989361,311589,424573,322941
28192538,23868430,131373,246010,145810
24011774,27986972,268529,517972,302705
25777490,24113192,124599,203565,138852
35724529,26227770,139670,193446,143640
26965060,149418,126579,223220,160310
206022,24859266,299998,401570,329201
24459634,143605,125927,204442,137418
212829,136265,123831,197285,134824
199589,29477545,284660,426234,327102
28056134,27650756,222875,358055,285044
28875969,23995933,265433,339175,267786
24868425,33114003,128332,210504,167423
27976465,141042,128088,203938,142071
220769,30150232,300037,385038,337243
24734335,25204754,127627,209063,136840
29970656,24247106,287841,449624,319508
24888663,26647357,263547,449829,254189
29305690,31881565,201567,333540,191362
38393693,24117927,263359,469478,265732
25877244,28309259,129917,235308,135379
33308859,26921443,123471,221899,133987
25030932,146430,126666,196880,136388
203277,135538,121428,194559,135519
265231,25066028,242554,318494,220207
25800793,135648,123209,202857,134700
460228,25113861,228121,380771,230882
34396323,25797549,239019,370826,227078
28485491,160707,140714,232671,141361
219781,32115634,125175,200707,140722
31635414,146040,131684,234009,141037
204551,23676843,127663,195905,135558
25891045,24826382,142722,193578,156206
24999656,24763708,127567,169116,176711
27712279,150028,128032,186178,148821
192920,30635128,247336,343522,338481
25322570,28034397,255799,374366,331221
25578955,32940465,263503,341803,270731
25535221,29291354,136742,199642,151793
32565748,24160004,248835,352909,251405
26172288,27087036,273576,381590,253295
30950285,24196966,137701,212968,145759
24799814,25229723,133487,207751,152475
32049820,24666853,260693,357965,269586
25166619,27369531,130750,207343,141204
25567172,28966650,131144,198652,135489
27491626,24723863,254534,356101,370095
26727160,25510940,213833,346684,338662
33267880,25117148,255837,447887,319088
24471897,26044477,263769,376697,258553
26682318,27167487,279483,474011,268677
24406766,157669,127628,207834,211261
195458,25239781,270992,462093,390330
27983312,31998725,140074,274027,204900
29216884,141704,129678,216812,145120
284501,126764,123090,199693,226319
323465,123794,127154,196847,284531
344579,125885,120168,180622,153246
519339,27498926,313039,416521,345790
24926614,28660133,281462,360562,473177
25312125,143598,131573,211268,169009
207050,135086,126534,202549,210519
196875,24293786,253969,347891,291472
24582219,25453031,247369,402500,261782
30395039,24361874,214902,323523,219016
24440937,25177705,212523,326982,229212
25498367,27562089,242044,367657,248182
27644884,133371,130692,725168,129678
203299,24098816,264261,426863,261807
32322956,25065913,267567,396685,240158
26595441,132426,127526,249734,125170
198297,28455198,255139,350513,229909
24444709,25724358,134395,228786,187642
27199678,29592337,272529,417633,322405
27938480,26148547,124701,251331,131713
35800311,27991501,274655,402050,257752
46465718,23975453,122661,209168,133676
23921353,26294180,224337,350686,219505
25393938,23600574,131279,209156,134595
24334607,25445825,121561,188697,132989
26916962,24192347,123132,174542,134398
28126724,24822804,283737,729447,278504
25876304,141141,130885,201730,130867
243739,33379077,120833,176939,130156
28543066,134088,119824,174025,129250
195092,23628652,257928,370785,239065
26544381,29941872,130078,198611,136364
24611030,23789331,213055,286525,183877
26453449,25750304,250287,365174,253014
25750987,23658452,193604,182360,133767
26319216,24382404,274057,283330,237625
26316204,28024901,238664,311288,237266
30788019,25015586,254883,302015,221007
26514098,24773466,305055,365026,250558
27537940,23546764,260946,335554,221324
26712373,25233369,247978,364856,221366
28351548,26455222,245803,345401,220550
24493835,32476806,253555,341472,223036
26567790,34035435,222010,408190,218169
30227544,26381566,260785,418655,250238
24682848,27988396,261356,371613,243557
25837143,25758771,132861,174108,140518
24916143,189248,133956,207264,138448
291028,24762317,233129,323154,209369
27837349,25053466,267212,367079,252698
25234091,25626989,307719,391831,272588
25231142,28026002,307121,405809,264155
27048380,139666,133786,210304,138183
494620,23925114,126178,226626,133587
25737231,24868113,271400,369117,232089
25630294,24100130,268524,360583,252399
24685773,24246844,288589,371939,251456
26240673,26311930,136176,178861,131725
25509225,143903,127606,238408,131863
202210,24222783,121532,227312,131958
24943571,136796,120492,189396,131040
199712,137102,121042,180142,131965
196390,27141023,278338,498843,217097
27011261,23888324,254599,605610,253001
24403437,25664173,125290,244211,133462
25918210,23873539,118660,264880,140979
23497159,36815578,118540,263189,129628
25368161,26463970,266322,531935,219053
25372992,24492814,256720,409664,249229
24711338,137595,110888,181959,121627
191046,35565083,247200,323217,212579
26532734,24312820,137550,204238,134280
24642815,24604018,127423,174936,131685
25497402,24141701,288785,343777,223662
24421709,24700775,238034,311495,223661
25460718,25155949,232367,336984,357768
24096471,141987,125318,196457,232076
