neo4j_cypher_nocache,neo4j_cypher,titan_bdb_untyped,titan_bdb_typed,titan_bdb_typed_nocache
28478080,32572134,573849,707237,706739
27900551,28455035,682226,821982,778496
29075676,30376694,751311,917701,921757
30855565,144488,491219,716849,592699
236058,26434714,708609,938612,793996
28688516,34571387,655017,802083,965796
28753318,26398665,706421,870425,892043
28146528,27105196,667405,848652,778429
29669910,27938502,547160,718298,508399
27309482,27834782,847230,1045703,831219
27952866,35625964,543608,682186,499233
38813975,29973703,882961,1010623,826274
28135637,29592132,836713,955630,943922
28779728,25549615,586896,900267,561867
26826155,27358073,904558,1041511,809814
27819203,28642768,1130676,964888,806069
27317595,38600267,746085,788802,734338
36065550,139208,542976,553575,541248
245339,29744982,883696,920662,766827
29730932,167869,326221,602859,437518
245361,27188196,429003,792015,678515
34927856,26872061,551166,919775,712431
34447788,25821120,515358,929175,685002
27071245,137617,294254,567574,384596
232847,27562625,598685,773238,625375
31857722,45181680,534769,811403,576294
35678883,273739,304546,576127,345753
488293,33444337,325673,631807,337015
49207383,30303958,662822,924579,638019
41196236,28262897,536597,896438,620106
28903997,26896466,323272,606080,247570
29675055,27678662,531072,864832,612040
28850604,33886476,615527,950101,594823
27924659,28020999,518082,998455,615201
29664644,30234366,516922,932279,634453
27914562,26479434,538322,672059,504769
29893102,28833683,524011,843298,613361
29579987,26447999,588478,844321,545614
28030208,28920486,396594,623022,420825
26187836,26638137,447506,807556,337401
32510309,35664775,385281,824542,282160
53302256,50240488,421346,771947,313716
51554296,39875228,481815,886018,366939
51562771,34959940,300868,581242,227968
46409830,47809443,638852,776996,357284
50159075,50550591,504042,820411,358560
38367015,35917409,429138,847031,276162
40172015,45029269,452931,801978,321195
48591528,55123086,470809,759661,323173
50083089,50497923,488186,931052,368408
30566689,285373,297090,556097,222050
277464,37634964,519120,843549,340933
29341813,138397,301189,561376,211229
310088,147026,278999,516530,224386
247403,35213285,272434,464864,232580
27857011,30097969,266723,292432,203017
26799744,167737,312046,308218,227518
240042,26037221,563693,542021,378533
28168519,28041393,528982,467244,371205
37966268,136274,303132,305790,229354
409233,39300811,461131,338540,291694
29563909,26108476,487878,401339,348140
28929414,25496224,494532,337013,288235
28515727,23985126,388551,339899,276682
26052458,26185312,360713,353771,294610
24467586,153394,297647,300682,223495
288340,24835058,413269,403468,341301
27741211,27613967,388257,402530,326556
33622853,28596153,449520,715693,572160
26627655,32632786,316279,546714,433814
29343276,26496887,415153,666299,585445
29157498,28275341,431578,721434,560471
27552257,219581,288749,488258,375954
214382,28672036,471804,741177,3948301
25892644,25559309,479954,814618,480475
34497990,28824745,397837,684571,367044
25118707,29447117,546789,661558,404524
26133125,24589647,351227,799097,419760
27467469,25741575,464690,784249,389809
26537795,144457,317423,502412,256465
234702,24601790,593180,721636,462721
29797102,26361048,726052,678899,393085
27555357,24918728,604179,735537,417165
26583157,26751898,698325,757141,373092
25655114,32242392,621434,536984,299386
26465965,26149721,587365,423459,303095
29160687,25746877,452609,311627,198775
24762497,155347,487935,313572,221692
221975,30228005,548578,343106,280484
25507169,26470189,614067,404520,322336
26035462,24693425,496424,323917,230631
25297911,135606,433021,307811,211324
288508,40513684,671878,442991,349658
25208220,30634571,664174,458748,364882
30020488,24968759,680778,498894,454913
28871422,26894109,609299,722292,556034
25424729,25921003,587169,750902,543446
26192384,27391854,484327,563934,394645
27137620,24871313,657040,857489,603628
26313598,27404539,484738,567740,400790
24498018,28779890,660605,794791,527561
25846201,24950763,813728,812194,571649
35363404,26265137,576958,730750,486441
24718965,25671710,541278,734592,501031
25357269,34576801,657499,570021,481545
24460582,24926696,744936,659398,570459
26152490,145462,429704,327985,333182
229238,31287066,475744,368831,367361
23773896,27253706,665196,483322,521706
35167898,25356109,886613,441837,366966
27358415,25777870,350308,296209,207341
27614592,25792565,532544,549093,367045
27376301,25662801,571824,561247,246061
30900911,33039427,776469,736672,349665
26416125,25879669,646949,899496,376209
27596422,144284,500311,548969,262338
271245,148341,419992,528227,231014
244986,32706987,375230,455314,258841
29643681,27308747,642615,743032,412968
27408092,31009885,393762,496051,236862
23787882,24440603,439060,612817,432173
30240315,145561,438734,485349,230204
369567,28352631,274367,328192,214956
24571640,24640979,379889,512387,368492
30469196,31536254,384952,550204,374623
25071182,31376575,369472,466783,359244
26143507,27185137,252438,309139,230889
30862839,27298609,375040,449842,318176
24960735,24393436,376917,456388,367796
26282615,32375885,380866,467018,362052
36399196,32750551,245328,315646,221349
26929475,29309036,250293,305765,218192
26025372,28051276,350685,489080,358079
26145220,33041518,410240,715202,490379
27195076,35516590,441612,695969,244564
26762711,25287851,629159,713250,414546
25439326,25326649,357200,521806,321569
28410917,29729774,411668,523434,390106
35394889,25601798,248245,322103,200743
31763160,142008,250179,308784,208216
445504,137467,271304,324671,227170
286907,27728403,341505,482568,311749
35577959,30383028,429826,576333,354156
28020313,224035,422810,349761,202994
252895,26097168,681446,530620,347607
27076015,36194651,672714,497004,353344
24577156,144866,412119,482807,332167
240498,28667291,604357,716124,495210
34000817,24054650,598749,504329,398800
28427526,27446431,582516,444401,309967
25864970,27325636,592110,465415,300210
37213931,24642455,450646,302044,204106
28255570,26219374,822213,518839,346905
26250085,29493049,535567,322323,205808
28423163,28832843,794227,526669,367917
26853050,35045441,578137,470313,298418
25425927,26647983,1227389,503083,338908
28409928,28466964,1489177,473367,225519
27680225,24025304,584103,531541,336045
25781607,28736387,414245,432562,285539
26096960,148367,380683,355714,264192
223567,29536859,555059,505636,371000
27441097,25566201,491479,435453,314080
25991121,26042836,476625,507062,304265
25083734,201756,359973,303935,213104
264480,37769045,371378,294051,199981
25533307,251209,347356,309229,214438
224574,31368650,636113,525385,350311
31597136,24256603,555882,443559,305770
26774839,151125,387679,329480,241837
430949,26352303,415530,493187,384326
30560161,23885409,320381,431077,328267
24811026,146403,242176,310605,227623
223300,25974309,218480,314962,205575
33618733,24681278,353276,630360,352695
24764266,32141247,228228,364960,198862
30974885,148808,232108,323391,204936
224177,31886011,449929,583011,349282
35734416,26282168,211946,295889,194375
26252872,26847817,213644,295441,199203
27534529,24316567,306263,453569,309777
25945659,142791,212458,304137,200734
208774,25192666,225729,385995,213440
27290092,140329,196970,470935,186287
205957,26282384,353535,875168,369965
31464722,25805955,342143,747306,384558
26157601,136950,228877,370448,216409
223122,28027066,220653,326322,208650
30726918,26081509,372649,537799,354291
29080824,27447643,295986,460108,300846
30297400,24838110,339720,478135,375518
24234518,24657562,341336,740946,400167
27776831,23687119,338549,917364,388805
33902434,26746697,292376,808141,332117
31978528,38089625,348955,945023,384523
28599567,24543605,293771,808300,333201
38743622,24681881,256427,652382,288133
33264116,144701,226362,550723,228887
228546,25549444,228773,525620,209436
24902806,28801219,245889,634824,226591
28737168,142956,215690,568557,200476
218308,33558825,215663,558241,199856
28155996,24753826,244581,579970,356742
25520343,141461,316398,476293,200758
218947,27709079,592092,891650,436961
26698437,24009453,439245,571043,230112
34382344,29456391,587349,880338,651472
27396104,143089,395388,558900,415969
217489,24281921,536486,771826,594958
24838893,143266,424774,676279,359665
207800,26632602,687126,880924,400387
25994946,26531637,368874,499480,210266
27228913,26901368,622734,814154,397461
31107800,31941642,678751,872860,419209
34185515,136431,413082,555464,223135
226735,24153820,745158,846765,376907
25683242,26358978,653842,597740,485072
25880749,24205151,379386,340299,243098
32410881,24666816,583298,488258,394445
25898065,24715471,591358,504447,374183
28557475,25847643,594197,501147,513154
26013146,133345,351336,317492,209200
224107,29431385,598893,490708,502370
35570613,137600,400031,380465,249665
451575,30876424,370521,317693,225312
24813047,158055,351077,331730,215228
206592,26734329,574086,562534,377874
32572848,24486632,562684,600129,349877
30158838,25376737,544033,537365,340398
25818807,141534,392494,362380,209439
683635,24957768,580680,557236,343140
25939367,29586542,348056,309539,194694
29271471,27492593,539712,505240,487473
28728296,28877337,461649,408158,530832
32566082,253496,338249,292550,312390
287844,191730,394043,336964,380061
213547,26584358,596476,524404,678780
25730898,24421542,470157,424591,510070
32695552,147687,401057,320476,235718
221750,25727229,504074,411321,349247
26402964,31252069,351574,308224,220319
25767505,24775561,552103,528454,407560
26226469,27160154,344928,314553,221561
29467440,170843,394009,436067,278139
224753,24092991,593051,487199,592930
25887786,26602575,508969,524266,403548
26481456,29235622,519057,439590,357885
29540971,24144665,525858,442054,392827
26445287,26384150,338906,292896,225309
26368710,141253,356191,305589,209795
218033,27257538,324111,282471,202760
27329508,28812527,324917,281616,201040
26902798,25447678,546953,453447,364215
25281191,24676334,391288,335290,270842
25329514,23806897,563147,458232,355919
25898994,142559,359658,284517,203194
245618,142213,311441,273031,194002
247641,24522640,1388992,450908,360258
26881446,23820839,323271,388686,309774
24471658,27041381,198327,300659,215208
27690561,31824257,471838,393856,312606
33644637,145694,186591,295524,210064
234397,23212784,323756,295066,207333
23682800,31959070,373156,339114,267288
24947615,24868635,397081,389307,311890
24201821,24218651,239239,277867,197630
25997362,139350,262699,275142,195971
235605,23073037,281567,283419,200514
30357268,24078808,435246,340196,268380
25534194,34012189,509955,412075,331951
28255540,25815944,342054,442894,351597
25466441,28310948,379086,448288,356142
25872587,150882,223412,330252,247196
215518,34455086,311689,425131,348055
25181321,28580438,284611,440808,326939
26254747,24456397,261373,419524,294450
26017957,24441576,299572,472878,335988
31757221,151024,164162,317061,196675
253538,27360617,345522,527468,429906
29257769,25529489,160900,297536,334085
25889348,173524,160958,300791,342344
243426,171792,161401,296436,335346
198078,25832656,261775,468851,537916
25798052,24053929,264914,464916,512433
24313153,143096,176471,371664,391012
220449,25408450,189893,382971,331821
27143688,27399217,345138,552936,687193
24955309,26722478,190306,549791,405756
30991093,161461,163537,557136,421099
415650,35595063,324428,851711,686307
27656420,26806058,301983,747337,572937
26823012,25682721,297074,761986,544719
25779388,147211,184101,568496,336529
220682,24823186,190801,381580,366693
33435660,26756376,177997,421368,376149
30922805,27357501,370509,6503227,595407
24321964,32527167,309713,493019,621539
26435647,35415560,178212,320569,337740
41665414,38070862,360322,836683,652293
24953272,24474674,321528,566249,555654
27667993,26202830,306706,487528,575101
24120269,26155349,327394,564230,573376
25024425,150286,180204,327833,327166
270724,26802435,308943,565791,586616
25384510,33558528,181416,323895,326259
31757360,24794342,297460,484359,612530
26397773,142983,177007,524439,342434
206600,29297976,190099,583862,375285
26481220,24755662,308165,823549,560849
26087362,25421382,334934,730208,412569
26935235,24646070,372794,889432,392194
26139083,135596,175030,533098,208316
222480,25946553,309232,861812,372329
32032143,157144,176818,612878,243468
230584,138762,197645,497285,226212
209620,33952984,203244,537911,230751
31578965,25848546,341113,1050895,439443
27146918,26090219,336200,860792,432198
24216372,25183676,262482,731787,332548
26555232,25818070,300258,969999,336916
23640284,25178756,280228,789726,349058
26343174,144215,179260,540095,219705
211536,29457524,258907,705320,316246
25659678,30369453,330656,870964,375990
26755657,23913199,290312,735869,331058
37265042,33276731,340158,894706,420733
27954247,25165738,178001,581601,230587
28734928,25376036,176122,560094,235160
27478685,24553010,321449,814788,421689
29092924,34453440,176836,531436,248020
25270073,33983950,339542,815851,423745
25375096,26305552,254576,633535,330100
32586661,32130079,329464,798549,386222
25113279,187593,183386,441268,225563
216156,203013,178040,330748,237259
209110,171960,183541,296433,216440
206385,24958249,320959,460992,385886
25153736,136230,173994,289729,211871
309072,32261447,247363,347963,329674
24131280,26453461,314094,406807,364123
28281442,37207067,466968,401912,356376
24853987,31027885,482738,392477,365936
30338481,164634,338915,348641,278170
204948,32604160,554709,628920,426525
27114111,26507027,311868,326152,166765
25666903,24673972,460032,566058,300466
25701136,148928,227599,387748,183640
215397,134624,200602,302518,158229
213205,26548434,190059,324737,160779
29229683,28834967,395782,515023,340619
25342613,25799923,288995,297497,156656
33138517,34358669,336109,413935,284531
24279375,29266520,499820,483437,337442
27585730,26540031,408147,523662,353375
24290973,23964734,277801,412141,252353
25177261,27074421,336964,463917,294512
34814602,24684104,307160,460788,291909
26595873,27147022,409181,513185,343828
24221270,28791448,333268,320158,172580
30757927,203146,309007,304308,161897
233210,127908,317553,425626,165208
215403,27598505,600945,610918,402521
26973321,25705026,663791,512061,341973
27411854,25429287,605269,527119,360547
25946772,27033144,459069,470662,310009
28451401,23939986,605639,530554,361526
25121259,26286121,204587,319171,185606
25683798,33328590,178122,302740,166796
28085375,24365537,322628,465512,344757
26639587,24649090,276717,417054,280379
26196694,24380960,263632,404117,247677
26546398,26275096,216906,341818,175975
28019251,23498289,163041,316535,163421
26217003,24954040,150533,317843,176523
24931110,148881,147934,518437,165864
216911,30265837,697748,872220,352314
28727531,25622409,364956,920897,347993
26103360,26672745,331678,898416,350370
26468378,25466572,288240,844337,290729
26193784,27325668,400884,804934,337463
