neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_gremlin_p_1K,titan_bdb_untyped_p_1K,titan_bdb_typed_p_1K,neo4j_cypher_p_10K,neo4j_gremlin_p_10K,titan_bdb_untyped_p_10K,titan_bdb_typed_p_10K
29886885,515044,1410757,793316,30283428,589823,864000,876184,31878677,725972,795751,830387
37233750,780706,1612946,8392304,30366765,538521,876096,934255,32736668,526088,749513,780217
187315,512487,1330273,1212970,29663348,807136,829079,937457,33334504,946816,783053,821598
30897570,610246,1346598,1179993,38518476,632007,843415,977698,31869658,594323,772567,788931
29849076,546147,1354083,880416,29972708,484974,764306,938478,38661066,505211,778615,853963
29324735,464821,910593,735497,30484411,508982,697463,866019,43440817,501872,873336,1039427
31515633,540496,812977,793863,29162668,602100,734021,856582,30746558,565664,834492,901142
175954,449661,735735,775073,30715846,568880,783063,896822,32359968,626821,853479,874523
28295572,528421,789011,794604,30389851,678390,798102,873316,31880444,596383,844375,796305
33172704,538934,913614,794476,30943193,582326,757430,835863,31807056,757853,787955,872598
27699628,432889,862530,799031,41842906,480287,697044,814616,33456287,511862,712761,713284
178822,452275,1194045,763497,30237274,619760,714543,830817,42295054,603212,730437,734749
160967,467567,1267007,762508,30275243,599441,732081,842364,32039575,639945,760025,800746
30118538,514972,946728,804356,35952831,673805,776928,841978,32339220,679993,745110,780358
29140512,468930,926535,1008736,30399546,503311,669537,777730,30470242,565450,766296,749144
29194363,443383,857451,713191,29730013,635222,805749,849776,39881572,496119,632216,637889
31877491,460675,734120,698053,30876810,455944,657262,757342,30285992,750726,700215,742336
29464415,448124,924021,643517,35034766,452353,732219,662167,31165126,565984,744062,777794
29670250,613546,793231,782382,29063989,804731,779427,790600,36198218,553235,713561,817158
27693159,933608,1156768,835789,36502561,657681,837436,821670,30959555,752114,789587,905429
30143956,969750,1460673,869612,33998427,523950,830247,861009,37307953,546975,722278,835060
34794392,570166,1329118,1266509,29458222,587116,1207416,805855,31388051,760843,825919,869519
29107613,593576,1258360,1328928,28233678,868969,1199853,860588,34015395,871709,766740,783145
39048661,537305,1224807,1243812,30074331,922050,1165288,837456,35120931,832260,818513,785226
28627324,497766,1352412,1263059,32464750,911898,1143397,838045,30497493,798612,853914,826759
29209357,485345,1273380,1198774,28137789,799951,858998,872367,40946951,799390,877332,769083
29030111,473617,1313710,1467909,28874268,640304,749936,823346,31548412,734179,921724,903024
33030875,506520,1360388,1368487,27936177,510367,752044,796192,31267633,756275,889785,917871
35253214,517991,1377782,1397503,29907331,832451,668941,722902,42472290,754157,839127,813840
30665245,477666,1230832,1546454,29468429,832709,787833,920665,34577666,746913,862236,897142
176935,456708,1132598,1313548,29540452,942671,786556,901174,31217992,866592,844375,849169
31686195,556112,1262896,1670687,66741086,821238,834165,946138,39004661,766341,765999,942439
35122289,528386,1218165,1460409,29476850,836577,780275,849340,37539823,863543,819707,1230147
162058,482048,1182719,1286553,29629659,876324,1140988,883618,34701194,1228199,957135,1505231
29268736,464234,1286121,1223864,28888164,933174,1334048,904354,39717064,1034821,935128,1584622
162582,685015,1328599,1275503,28946839,1151828,1539722,935997,31212000,1268113,1035548,1438169
27931365,604074,2040874,1343512,28570627,1186998,1586602,992242,31241310,1006219,1035609,1459626
30489433,689779,1560587,1533239,33372481,1153297,1482798,888105,42206864,968762,919829,1319422
28628397,627277,1423298,1346569,33226688,759389,1526743,916515,30727671,1227637,932952,1320945
28574917,558122,1522947,1347627,28341965,569112,1549365,820468,37873558,1046006,986863,1453779
31287714,544631,1458326,1303779,39015210,571437,1457519,948828,36348979,914012,844484,1267274
