neo4j_cypher,titan_bdb_untyped,titan_bdb_typed
46330850,18116701,1896924
48421107,3265848,2454112
50915982,3171699,2625166
50495597,2609983,2059380
46663038,1516261,1361983
58085734,3470669,3861396
49765548,1530612,1243011
51953892,3585102,3058324
49042519,1903941,1644802
46714902,1486260,1345913
53300027,1089238,870237
50004127,2701411,2277769
50654406,1963143,1738360
74661205,5074153,4293672
51136436,3295778,3006765
59729201,9592553,7974324
57022180,5186513,4501448
48614421,1439752,1972082
58327961,1886660,2064300
53142257,5067322,6504274
95751499,32985243,28065459
80289105,1910506,1735198
72983850,7076134,6757286
50957899,872059,829354
47338816,1289577,1100284
44658741,1270335,1092600
50161231,1289631,1000824
49194849,925952,784550
59572113,3880495,3392927
48591281,2846244,2396974
50193826,1415333,1488514
60371473,5914343,4906864
52294568,5079913,3847066
50211255,910097,845643
57598360,8963641,8422168
56570602,2189068,1998508
51852211,1820069,1469106
53568556,3071955,2551382
61550750,1646616,1408958
61327810,4263860,4892753
52443998,4933572,5427275
51358681,1558148,1859739
64244455,1405142,1991648
56081947,1648288,1514612
47724258,2432387,1724716
63608148,10997560,10479175
66023195,19847303,3126499
54139668,4562274,15432159
49926517,1881608,1920498
55147758,2403887,2094773
50423047,1641841,1300029
48430695,1541550,1465764
44090534,1281391,1115928
63124484,2474747,1974116
70683362,7691297,7157619
48396212,1985810,1966957
52330629,3217016,3161063
53253488,2544777,2080865
46874768,1763579,1378104
55657191,5859371,4924181
55155677,1762989,1651193
64924303,9717383,8426845
51418107,2074870,1661270
51784184,2339781,1993664
67063834,12281277,9877137
47655171,3397178,2710637
55529449,7444931,6723071
47695179,1107736,1010791
69812372,17300977,3869341
58627544,5160807,3117641
55130758,2171767,1248429
66770460,21429174,24721910
49458378,4466414,3511380
47415294,1139731,1085421
53457869,2690927,2424255
50891621,1261896,1057247
44262806,2943537,2033170
58830278,5785364,4237863
49855853,3632062,2732634
52916140,3219056,2770878
47851648,2165989,1772018
51098792,1182694,1162858
47175292,874725,857602
49318882,2167230,1838514
48443447,1228830,1286211
46621737,1669155,2505431
56136023,3974519,3996467
61523981,5915480,4599878
54616209,4539310,3704813
65577738,1765106,1427331
73031617,23486795,9042462
49080499,2571758,2267826
49371514,1259728,1236923
51281756,3458566,3038400
47408297,1426308,1099900
47190943,2246638,1342803
48414352,2972455,2561772
57384720,2779512,2214888
66638566,3894095,3227121
48727847,2360531,2212785
53832330,4384917,16908821
48806417,3429043,2797038
49248747,2388312,2476949
52923273,5655278,5319272
55016590,2126306,1830543
50354476,3786807,3252126
50336723,2968304,2300757
48860793,2530532,1960081
62109917,2036550,1541499
58845315,2649466,2245461
50687359,2672148,1810392
55775815,3105502,2343271
45285110,1440299,1056519
55765256,6049898,5287868
50271959,5230571,3710530
56128144,5445462,4800502
46385571,1645085,1451591
57553123,18119636,5365209
52776109,2129093,2225750
75435001,16868769,14348601
46637800,1107643,940906
64454977,16182101,26186383
64697663,3976382,3388221
59260377,5482430,4727225
54842409,5940319,5605045
