neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_gremlinp_1K,titan_bdb_untypedp_1K,titan_bdb_typed_p_1K
1505593107,61529505,166788215,159992842,234047217,521463026,532400935
1975895608,12667268,33955278,30808913,212224511,492566653,500656798
1028859546,110839135,349009391,295409338,16577132,50618955,47017441
1927660914,38292716,98510242,88544203,141602903,338375982,336249870
4505612047,39588170,94005994,91553532,60935271,136144306,166666046
167065702,99208565,271935117,232591271,4094886214,11075611898,11334730630
3502276898,263348093,669336949,607130705,7369791,26787863,27030494
1221720941,50811767,137105196,124890161,15367471,30949953,31791182
5735378117,117409679,336328166,290891971,358870708,870276427,936482006
1474789494,3864473,13021287,7790445,14201343,37998119,36980584
6922524815,259977329,665777390,582377234,190691646,469374905,485463557
1096067424,323934375,891116231,776946612,1337858499,3200986911,3324840351
1055494370,18105500,38162178,34299049,498511787,1224094562,1237499337
570196654,18702799,50906606,43431239,21503626,61988679,56420512
719062125,50228144,145388140,132323484,183570632,444058418,469688227
358707458,66168716,181358825,155902915,173915603,419365696,441621350
966604176,347171036,873713244,757052713,41626551,95143192,93997579
1494921707,80828496,227972482,202584620,17860003,70536558,55785259
2433103045,54220993,163623323,133559907,138967831,317151941,327561056
448524903,24601685,61227790,63243568,38739216,85187935,79892939
346652305,245793683,653672592,604151129,1158721759,2470850156,2659619751
987906356,26118105,59910347,57907878,609646328,1569785153,1606728330
3836459139,583107054,1495574780,1340971058,882230812,2166211986,2222503811
1906215512,352375866,959684738,875682425,143277355,337983041,367272984
515963416,40935721,112628875,100483072,63285316,147395587,179705170
977015859,13258587,38042866,36998448,257529075,608182790,642423386
5580733888,91324429,265187790,224777674,302084436,737553132,747427511
392256857,71484701,187730426,163294419,1693998483,3884014780,3944468393
2537772513,17742511,62199979,45267600,119514510,313085380,307167889
359813344,56964286,157638030,141938710,123445010,275840416,284078088
4284927229,16720388,36409855,42353639,186361164,468562232,469671582
554465652,22168215,66350016,56449849,103215230,254100082,266362098
4565011182,27715491,69751691,63956569,53347086,115873642,113844661
3465840501,157855777,460514075,387731453,54489706,146053242,151515474
7393463967,92614129,258726672,234222345,1019239862,2369948014,2289687810
2024663734,54851323,138609902,128336605,5057581,10821238,11198912
1088492676,444066251,1225939020,1060766395,7350074,22428119,20972471
1094289242,194137797,539949601,462866218,60078763,144758713,145603754
1699123668,81612000,230044394,195466345,734528974,1611311169,1682496191
970612550,423651002,1096284187,936590148,268123311,667297119,694195099
