neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1k,neo4j_gremlin_p_1k,titan_bdb_untyped_p_1k,titan_bdb_typed_p_1k,neo4j_cypher_p_10k,neo4j_gremlin_p_10k,titan_bdb_untyped_p_10k,titan_bdb_typed_p_10k
1350041,1211699,2349013,2207220,26328105,855730,2010609,1778403,16272827,1418703,1725062,1698727
20431479,1124434,2167264,1963901,21753090,1514312,3100243,2624122,23214908,1596494,969048,949195
2999907,1626369,4904127,4469400,15771149,1056082,1548819,1422710,30739740,1595540,873988,830434
480536,869763,1528722,1350949,20311709,1248103,1455762,1341343,17176521,1701843,1873182,2560942
25026466,2866557,10294023,9789288,16939103,1299672,2691205,2391312,24383990,2332365,2096264,3552154
2019405,983886,1805072,1678803,19777130,996348,1329783,1189451,14608669,746269,646178,1388970
1863655,870639,2098516,1892585,17594270,1665710,3935101,3051852,23903806,1554205,1888924,3165602
27913274,871554,2106461,1884908,21413423,1577652,2413096,2044245,25517369,987142,542781,954224
20826556,1450674,4390019,3970343,1158512,1308643,1865729,1656180,20680675,2153274,4201986,4478369
2171431,1482624,4051133,4231805,20155716,1130634,1234799,1077852,23037530,9566646,1040138,1101406
979431,1148902,2010949,2021881,18180067,2022679,5142959,3682810,15580814,1264877,1026801,1011628
1617066,1406923,3882544,3906138,19885660,1342849,2303314,1750097,28809645,2361161,4551591,4498078
18044158,802851,1085576,1232544,15441603,907589,1835003,1442629,24564944,2218314,1460922,1422192
21674712,1147444,3167508,3100786,25375121,876551,3039262,2326497,14962624,1337538,1012057,675244
769553,978515,1755808,1864890,21832009,1092066,3724342,2829649,25058572,1674229,2700705,1676070
1261388,1187381,3473404,3029462,16712225,1025897,2803471,2475222,19952983,2026930,2872345,2044347
19320215,1307010,4594474,3989719,20028947,884041,14004804,2310314,23247165,1328883,1866172,1087188
6073483,1476851,5414030,6132451,15108618,703988,1194752,1225404,25406466,2843216,6046518,17450302
1432122,1173698,3731403,3365461,24152620,2129308,2578442,5014608,15291537,1719314,1795812,1597138
30107358,973736,2197906,2126569,20359241,948064,2416266,1855509,23735211,1103064,1002211,771778
28658963,856132,1393744,1424840,15669894,706158,1592428,3496000,15746067,1474908,905070,773999
4179615,1383933,3737346,3669822,29133809,1102775,2733723,6277231,23219273,1855017,956341,839181
23497571,944078,1274384,1356304,16457598,784615,1777923,1713785,29694281,5780008,19623921,3247158
20042059,992574,1433394,1418116,21959665,1423622,2485028,2018662,15470497,1550150,1095522,949205
998383,1105097,2263411,2134447,15789485,1047160,1468299,1412199,23064255,1377494,1293261,1062788
947563,1253017,3208500,2872650,20130003,761051,1256130,1213916,20613252,2065461,1881456,2015600
572290,1048725,1494291,1464585,20661116,953193,2285852,2085389,20668607,1531885,815473,1478637
1070916,1282943,3251201,2925249,16990349,692282,1207965,1227722,23587838,1509902,1861051,3166558
270637,969588,1282823,1126894,26434840,763919,2058687,1892371,15802196,941126,852421,1684001
1363302,1258862,2930681,2911104,15208318,689722,1175262,1244522,26234088,1716535,4258046,7130008
2620511,1552573,10397458,4055567,1599604,883112,1995164,12997834,16705872,1143793,772293,889131
4310716,1480224,3870190,9218691,386965,550223,937056,1030269,26526362,2054586,4583688,4610428
3128317,1467762,3704448,3679601,25153792,678926,1651141,1653758,22244621,901756,952945,966625
3727263,1555409,4179675,3860362,15137781,820407,1025182,1085238,15232805,1145061,1283020,1272488
1067782,1156736,1979320,1938436,20177173,2134892,1570122,1533173,25191390,5201633,2147585,2298812
755421,1019401,1700561,1859695,21557480,1279423,2063087,2040642,24002638,1262648,1355222,1477155
1049429,1314689,2978294,3131624,17066579,902135,2135810,2203163,18441961,1666990,2538017,2267825
23752146,1150139,1922964,2058843,23368944,760150,2283702,2049366,22441510,988950,999158,850865
517411,1175895,1680806,1709848,20082979,1752538,2993827,2877364,17590891,1451506,1751070,1718302
17238398,1004037,1039360,986650,734110,918731,972406,1126543,25160743,1872954,969869,987707
1937060,1114570,1981390,1905852,25829494,1179202,1677336,1678384,15329490,1562430,1071424,708698
474460,916000,1252163,1215432,19651588,1242991,1895064,1992403,21094079,1314792,695382,655824
2718850,1600354,4185150,4035131,15387366,1256065,1406800,1530582,26936436,2364483,1009286,1013896
8006479,2793523,6932955,9081007,22575566,1163775,1584891,1616566,16958800,2694395,2100159,2051842
460922,989307,769592,1060465,17931345,2199043,3366373,2828752,24530975,2220028,1731881,1685011
646308,933790,842830,1357498,21514007,1477154,1943559,1632618,15403033,1491316,1185686,1160068
1655394,1095057,1223551,1899905,20670402,1098045,1217661,1235307,26096692,2227296,4540755,4394385
5271485,1637827,3237228,5887373,21280562,1509741,2026822,1863967,27000695,1283961,857677,919563
2017504,1077893,2938525,2654658,21361101,1094587,1294225,1109163,16281211,1797425,1238888,1226442
1559419,1171328,3993948,3589316,17218297,1355559,1960152,1685809,23564490,1742010,1120958,1104486
20815170,1088491,2525294,2597177,19731568,1131100,1535307,1207612,18704851,2917594,2980509,2931265
2066518,1086701,3163630,3090632,19831405,1620781,2350681,2006339,24838498,1533774,1077109,1067325
506154,774356,1350077,1457855,20398963,3294109,4464726,2694065,24145929,907633,530812,523307
1475998,1013054,3562164,3363344,22286795,1386144,1738965,914691,15418847,892136,563389,547161
1206749,962618,2802497,2768568,15586864,1182131,1118159,627312,21894274,930229,459828,481597
920642,1094396,1743682,1802542,23879010,1649639,1987986,1751324,16000625,1667055,1613437,1371300
313117,890087,1333732,1339277,19208707,963097,608108,537333,22568637,1956783,1169594,1161051
1379558,1390564,3476048,3426917,15396615,957649,760140,723964,16001927,1343456,626021,555442
22009837,932397,3350542,3412368,23693197,1030282,500151,474328,22469477,1187013,1494328,981736
1035199,809810,3188953,2962077,17996796,1391877,1365867,1191896,26481399,1510581,1544087,1282572
3204127,1216021,3343201,3811001,21003431,1168877,1045122,718417,15509138,1243054,876554,781265
1219115,1093548,2547745,2947419,16987018,1308590,824257,687787,22811526,1595034,1397109,881775
890778,1071213,2709341,2950933,22573299,1521180,1421385,1334690,16399867,1787499,1342507,901698
841697,996383,1767424,1896170,20684118,1262527,951075,890532,22048808,1583515,1238245,780198
1288500,1130280,3285175,3418524,18993680,1503796,1463161,1348480,27868016,1649937,2119325,1538629
1243517,996264,2632060,2597113,24033308,1268935,953403,881358,15725398,1491351,1675994,1393432
973823,1118470,1684594,1814964,1217590,1421364,835148,849179,22020128,1168407,1303372,1040668
6356860,1737282,4587143,4850991,18341584,1367245,1143684,1087955,17916069,1123277,1464264,15724663
19146541,1017483,1193595,1302316,22246274,986526,836274,789747,23802669,1151004,1686268,1758387
2889148,1263708,1821401,2014960,2248800,842826,1477246,1510522,21912193,793179,780656,731600
799516,1031774,1660106,1893611,20232104,746392,704171,825353,16096030,1073161,1378622,1124881
2229981,1156165,3178757,3331872,15277387,720247,658032,676366,22353884,839496,839121,762971
1566713,939114,1743941,1828749,21309458,815907,977568,983301,18729675,581146,587982,566936
3953507,1237579,3229221,3621849,16158541,611465,925478,592773,21537601,680922,848325,1488981
1181545,1241724,2259718,2474423,19886954,551425,607963,570068,15928726,995068,795360,1528292
18868304,1190429,3116295,4677301,22573047,666896,695164,899908,27867723,506409,14555223,801545
22676251,1050833,1393941,1538824,1292028,868518,951852,753052,28926910,4197889,3942579,6433118
1880676,1225962,3158528,3117870,16797442,701685,595616,510649,18710133,1190845,986665,1805384
18975300,1292983,2886949,3236307,534536,571118,874854,844539,23804287,948767,897885,1215585
1663056,1094021,2897726,3221783,20258199,617261,685763,664444,16103111,1597497,1318695,1339168
423782,743116,1136674,1114921,15922985,689755,1102879,668556,23151770,1003922,877497,885139
1504278,944036,2832959,3600703,20212778,723032,1403887,792314,21451083,1763863,2196878,1875762
362844,807792,1013382,1033835,20444847,876963,1202730,689762,17426582,1802652,2850892,1490262
1536146,1068868,2229418,2319159,15094867,964448,861162,472464,22362451,2623416,4261204,2314976
2953333,1395614,3821025,3908861,22508199,1067585,1131660,704401,15949895,1911245,2111756,1192905
8368258,2126182,5162191,5197893,15524418,910691,759754,453585,21215395,1519334,1723041,927780
25365045,1443247,2469737,2393631,19635492,1103492,933967,759126,27138866,2443164,2503484,1703373
1254584,1283759,2361381,2057085,15764004,1304084,1076608,652790,18975949,1224538,1633603,1417411
1443617,1249001,2425263,2025113,20161231,1002078,786652,474481,22433077,946236,1000195,1045244
19639147,1264175,1364632,1239032,27737285,1293991,1398580,1170766,15747502,1401722,997944,1204158
1129605,1369635,2156705,1725453,17149652,1179052,1400510,855769,20166671,590875,509996,504140
16854602,1082435,1530015,1244260,22525514,1270311,1395001,893282,16458207,3610703,857230,843265
1733499,1589055,2989968,2391855,1454978,1084249,1686522,975661,25361132,859574,1256058,1255782
257841,1118385,1064319,862878,15713575,1157356,1215483,957655,22330700,1671676,2032467,1940111
891149,1305859,2364721,1786995,20806791,1211814,1169184,1225045,14793618,594420,614238,475517
1181441,1211160,2361455,2131740,20352248,960470,770829,1421545,25935382,481227,520546,487348
19837107,928516,1179248,1145473,15386192,940671,433185,655111,15351286,907942,733510,735843
1710910,1339024,3048057,2874711,26253278,1247110,833058,913702,23218329,1594403,1405494,1364256
1942137,1434624,2575432,2610837,16455043,819667,456180,585741,22124306,666656,813507,757775
367020,985903,1156652,1168709,23999381,1358651,991895,1101054,16062422,641335,1072913,1065202
1673118,1561294,3045648,3023724,16657709,1351805,979519,1246123,47920502,6996801,3687065,3351500
1455833,1263750,2563559,2615801,19414780,1042827,691779,934799,16215498,1282417,1615821,2328378
521321,1310563,1065522,1279487,21886900,2390440,1493826,1645755,20930616,752996,579543,760707
20679099,1534822,2175084,2233707,15327020,1182006,642285,774603,19800205,578221,559721,518770
786542,1552815,1422618,1507424,21074627,1242124,7859167,816645,15802504,797479,1067152,689272
646364,1294741,1363883,1387982,16062568,1374674,1208479,1208277,21948045,513285,466547,433336
1023837,1501235,2148522,2202023,22787451,1466209,1367248,1504537,17517152,2343204,2036848,1877290
1011121,1405939,1904130,1956076,20213193,1483218,934364,1064613,26815237,922510,1590428,1591462
1187654,1487805,1920599,2042732,17942732,1348283,799196,1005827,23985131,754942,843610,857929
2989009,2353231,2537355,2813515,26143049,20375551,2527814,2728565,18131294,1117762,1301699,1277668
