neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_gremlin_p_1K,titan_bdb_untyped_p_1K,titan_bdb_typed_p_1K,neo4j_cypher_p_10K,neo4j_gremlin_p_10K
9202669,11058664,71230262,76041413,65745749,76855857,469231058,457336834,1133185725,1372269694
8480696,14082006,65691765,65898224,57477509,77312813,465175633,461804156,1105648666,1394461227
8543119,11500713,69579007,65701870,58857485,89011908,465778310,462387084,1122733893,1353909322
8419639,12499973,65581492,77964778,57468318,77634983,469213672,459462932,1105049989,1360928776
11336344,11726449,65619729,65329519,57906810,79960914,465801914,454191508,1098225537,1358680567
8700457,11366891,70547056,71569302,59047488,76653157,457176057,456279820,1117430997,1363403346
8506021,11154340,64698647,64936123,71050396,84723620,479700209,460919581,1105146612,1362784063
8518521,11173363,69191970,65780153,56715456,76938943,462639884,453675212,1117842568,1357037368
8275039,11137115,64986552,74428269,59848821,83489548,466208699,462375699,1111696371,1357163381
8326570,11023450,65083507,65796682,57077017,80394244,459315540,459278362,1082462510,1361284323
11348489,11100893,70688834,67391764,58197897,79022119,475889811,456530096,1139417456,1388392500
10461408,11091078,64803075,68428408,58228787,81159740,469110099,468494087,1133236617,1378176279
8561403,12426297,69240058,65611573,57847119,75411146,460146477,464554861,1100171516,1372102872
8614851,11533932,65227013,69009821,59489454,76875928,484199970,462996704,1106147845,1379501589
8369266,11254823,64923003,65162137,58185154,79352356,469234778,466576455,1107558485,1375018499
8578038,11476902,69925490,68245192,57866243,80364695,466340916,464463149,1108414833,1376076282
9849369,11525161,65538103,64788671,58616862,77735804,476199142,461219684,1127829628,1367222742
11345751,12499296,68932363,65728192,63365353,76832097,464649004,461914043,1110707705,1357288122
8174835,11634355,65076814,67851120,62975917,78317403,462151892,465618805,1114366873,1367284126
8276649,11461152,65111412,65116726,63904937,82353020,473226713,455861490,1127219340,1373456927
8111286,11272716,69969709,68847043,63361985,77094635,471975110,465299880,1121939802,1389034125
8551967,13638002,64793583,64923197,59018465,81526481,465921310,466679757,1097332377,1376235587
9672007,12152012,74451079,65909133,57341491,76331088,483808325,454141978,1109117403,1392796404
11483919,11363832,69174892,69039987,56951892,82057653,457845235,462323281,1111866717,1379995696
8599399,11120969,65847509,64833336,59562541,80345597,462215043,482529792,1098014961,1383624158
8262616,11170698,69358355,69213637,56986776,77907033,467305681,469527937,1112523656,1374744991
8210410,11067452,69280302,65091526,63374395,80051801,460063118,453527935,1122512258,1375942151
8290566,11034890,74045502,64967592,58308963,93398632,463694180,469705855,1105244787,1376290609
8248062,11084802,68740701,68863511,58436132,81294139,462904185,463008085,1116114750,1374482395
11012066,13142946,65000984,65540790,58759078,77001851,464241017,473875921,1143506521,1375999798
8403312,18734426,69706234,68307918,57163828,76196673,473950831,457505508,1109479079,1364835200
8431001,11586643,68667926,65730549,62555986,78161611,465034531,464670867,1110797295,1363119720
9031098,11607468,69309739,65161925,59393619,79706577,464938653,476510467,1125843823,1391255938
8962603,11348945,66605077,68273981,57847079,76490451,466204273,454194447,1107138006,1387785506
8454253,11148691,67078121,65962368,57957416,75738491,467182232,464643077,1116986863,1394226978
11137496,11122004,73570840,67676951,58957730,76415584,475093496,473962008,1104445037,1367452244
8444575,11152488,66482238,65263473,61872097,75971116,464485092,460027472,1079816501,1363551109
8346595,11095342,71101101,66080823,57384295,81245389,463237709,470868884,1110853157,1366684508
8758609,10984707,66524565,67941862,60112349,75759108,461402895,474280109,1096849665,1362367419
8201756,13031413,65791932,64810861,59331503,75942971,463113555,455560198,1082609004,1361774878
8210957,11838615,74279539,68818639,58629079,75962257,458711461,464618368,1089322238,1382472383
10966774,11298528,65449995,64723310,62652142,79458906,465922436,448706082,1099980514,1386019025
8468031,11106457,71067708,65275322,60916027,76109727,468235193,475585565,1105344386,1366108437
8757178,11305766,70182799,67896911,58898410,75953236,456625763,471888034,1096409323,1360582586
8591137,11275308,65442796,66115828,60704089,76529550,462080639,457877710,1104154454,1357552661
8490596,11130304,67835282,73009428,63644461,83424457,478902533,465489922,1114616298,1355088855
8367089,11088046,70671876,65319402,73999145,85092150,463394974,483094273,1119630562,1360193226
10914650,11115677,71124462,69790036,59611935,87367129,461757447,459015735,1103529378,1362033806
8441040,11678798,64382118,68408850,57021011,75512653,467361069,464978118,1103779584,1358169460
8687697,11568230,69812737,65827401,57564030,76053284,463190916,469200511,1137817334,1360358221
8919269,11434628,68696759,71978449,58419757,80534146,457584543,463981640,1106236954,1355646683
8424982,11183220,64895187,71835667,57270446,75855591,465516390,464446277,1099786913,1370944913
8202000,11386383,73864281,64873928,58300824,75897205,464820885,463673597,1123004574,1364287146
8212352,12420562,65766888,72947178,59942913,76147037,466481689,472796783,1077693476,1359151408
11063653,11532354,64660239,65915245,63539302,86281030,457121637,457670480,1104687651,1359210639
8739241,11255262,72375504,67535586,58708812,80618205,464923345,459711872,1112949529,1368953767
9039329,11159981,64923598,69656328,60508750,75642710,470018035,451071894,1100083381,1374059604
8404889,12804420,68227884,64864774,58067512,80953071,464595265,476048844,1103643661,1376899730
8283063,11281623,65770473,68899165,62752409,75273786,475665838,461642663,1123375002,1380869812
8153900,11181775,65161899,69923017,83975476,80162554,464282881,456429046,1093044676,1376820512
11212161,11179063,68154094,69102217,88622333,79556184,457881986,464896494,1080253335,1357038652
8321248,12031720,65501879,67146972,89378719,77140922,471228763,465119187,1096009350,1371349537
8207997,12053956,76494822,70385009,91096450,81009017,486457887,459240753,1102650840,1360564106
8131931,11520680,64638379,69904058,96186877,85209818,472389977,455079017,1111458271,1361794691
8218921,11439420,65240864,65352558,75352306,75413534,462916209,471103151,1086102820,1381806347
8229462,11123159,69020636,69499600,56691548,81022694,466864511,471504786,1109070514,1380429911
10480247,11092823,65378098,67465603,57786458,77691024,463053599,460420123,1114247738,1376710506
8758808,11047725,69674161,65686275,58426118,84764576,456939709,454454274,1102208167,1357976470
8332770,11116947,65292513,76600551,57352695,77210575,474366194,463862510,1095203190,1393587315
8423601,11107121,65446681,65526286,60457153,79257763,469546948,515107014,1100000526,1391624983
8256683,12027126,68836113,66412707,56505200,76352648,471405590,479029881,1103077824,1380883823
8153343,12051058,65521775,71405472,60906787,80739301,462522673,458501623,1104790163,1361319403
11493593,11567516,68762338,65330696,56478783,79229658,469937866,457532832,1138141214,1360515626
9139917,11201566,65125696,77402904,60093855,75803856,467151521,475011652,1123610700,1359604189
8370878,11171415,64464127,66134376,59086003,76871118,462433151,456886711,1100849393,1365219935
8341543,11300578,69069906,64841979,63465180,75798797,495799203,453025779,1095693129,1366397837
8178273,11079847,64780648,69223011,58325707,86670375,464634263,469852459,1096194710,1390506791
8167894,10996553,69225053,67206000,59204068,76051300,469492305,455853355,1115398917,1364482318
11309896,10995678,64614417,74358440,58251837,76940930,462958710,453821025,1108313719,1362719037
9219144,12015172,65562410,66154575,68928824,75700662,469664704,458145068,1095055792,1365988972
8321921,11616499,70010455,66164468,60972415,75884036,466793345,469091213,1087901822,1361179296
8288221,11377770,65004062,69733979,57395878,87551971,464996201,459667624,1099385684,1360146447
8232099,11219857,68578848,65714813,73413700,75830674,465370448,458450939,1093396377,1368768036
8264475,11528519,65308622,71801632,62045449,75322985,468211317,460553008,1111153807,1377938890
11835598,11709849,65688514,70189765,57033269,76195855,468169398,467230690,1094466618,1387663498
14104869,22374116,73291736,65846773,57990237,81235498,457070164,460714046,1088716298,1363955841
8423199,12101849,64853523,68670174,57956293,76233197,464925871,461096041,1100253580,1361312326
8272829,11940647,68954321,70166087,59343236,75994665,464648383,463720623,1086702301,1359720433
8228015,12029097,65739081,74101634,58882082,77097485,460577508,469402470,1094641884,1358676751
11667983,11260063,64687527,65495700,57792341,80574723,464732764,461693794,1120623460,1358303671
11785594,11187196,69261212,71411080,58803409,75595230,464846634,462002854,1123485469,1378878500
8591049,12390927,65130968,70406792,62577523,76763800,485796783,466709267,1118186267,1363097309
8317626,12349801,69862017,65986150,62984585,75571638,456479715,460893748,1115051404,1371320007
8305366,11512065,64555977,72105674,58995809,75376332,470060139,471366046,1098908030,1360420928
8380534,11250953,65550254,68931092,61560238,80533486,467522729,459749260,1096149588,1358892855
8252707,11736583,74297230,79713468,57204405,76234618,460627010,460136446,1124289488,1366727195
8262582,12656043,65853300,69191837,58647105,76252622,475148955,468215283,1094815729,1368224344
10013528,12017694,76269151,69977609,57997843,75702602,481804794,458725587,1120275153,1370752103
8291940,11857523,64668552,69593443,57479828,79913068,462589178,463299956,1115713977,1362215624
8252425,11337305,65455248,65098172,57932880,76187841,468100301,460610226,1098060867,1361151611
8999152,11243013,68692144,70295871,56855741,76165076,469117462,463355708,1121218590,1376017258
8446634,11175860,65050331,68340108,61947562,76135777,478531062,464446372,1113407797,1379300777
8428062,11501645,73386392,65700096,56846145,79652612,463362588,459906489,1108209308,1404875456
10297299,11229283,66359321,71072313,56956060,76051886,472731928,467557879,1106854370,1359473144
8638759,11409720,68501661,65615767,72868241,76494958,464764010,460994717,1103874165,1372545105
8227725,12678439,71760356,65017313,57214998,77937505,459644619,460475738,1105028531,1359890461
8176851,11585436,66304459,91043669,60261363,76092389,468854708,461766612,1102214889,1364640178
8190679,11311348,69612643,76725967,64653291,81228843,468808883,460216973,1120934802,1359295175
8208051,11159205,67144209,88096049,57573130,75926554,466159817,452768733,1105452506,1364859389
10398445,11886550,66408817,67249616,61891790,75761577,461412852,459174411,1109970456,1357209718
8144405,12252625,70945876,66309065,72104025,76186857,468884972,463273029,1102294127,1364765809
8775598,11643434,65781469,68849648,63000619,80114635,473420778,464470895,1120713452,1364597425
8535790,11865374,70331769,66520475,57702262,80987545,459991049,458592773,1126487592,1359704996
8769689,14065863,67035157,69793622,56906021,80201347,469573877,464597400,1099644317,1369962278
8168694,11486570,65088458,66012428,58594287,75854356,471216965,466124641,1088301422,1355770910
10441235,11127438,71922988,65589688,57335729,81182779,467295999,457818117,1114565020,1372809986
8670958,11122031,65741503,69125290,57839187,79017083,455664429,465884084,1131714004,1394294484
8711413,11042004,69548947,65712718,58173632,81123870,468236034,463040811,1108911316,1381286564
8768104,11766041,66061790,68463611,56884736,75615248,467679651,461312386,1091503248,1378379254
8561560,12132727,65935633,65661069,72065687,76983878,463949251,450841946,1102723712,1362302080
8258792,11822388,74303490,72811606,57469086,85537786,471815231,456528859,1107666109,1380977200
10248792,11260687,65635391,74178895,60206857,80239498,469276342,459488892,1121348997,1363259409
8995995,11088555,68342931,68564079,58771527,75367475,465560661,459188158,1104627997,1384437413
8415598,11399439,65810833,70873903,60636247,81147655,460454126,452923388,1120146272,1377282294
8333185,11100414,65499264,66323876,60588248,82122965,478841981,471271679,1112305444,1365423831
8330853,11037310,69331177,73250288,59391428,81248269,464045428,458169577,1104970272,1386567004
8204578,11583669,65530164,73678330,60043913,75635301,456880512,452674962,1109423897,1368274709
10624828,12150477,69977675,66716274,57364026,81398545,480188631,470517800,1098894339,1365311223
8984145,11898595,64920198,74499244,62403752,74932826,471072516,470363163,1110639160,1363053450
8600926,11454822,65506594,66171546,61716123,84803079,458462814,496907928,1117784818,1364549053
8498273,11424186,73603253,66076861,63281324,75733156,468969797,459322777,1130420677,1359670370
8289121,11191394,65036618,72008587,57157554,76803478,464247657,462067313,1102307272,1376155303
8217578,11208064,70490365,68448935,56894421,79703613,479867347,474249315,1125753266,1389247575
8374082,11125411,77801794,70683076,58214120,81844920,469653641,459129397,1125814219,1380566486
11057768,11089309,65335665,68519796,56905117,79741381,467836796,471461542,1119117332,1369082208
8274789,11001165,68857015,70003683,57632653,76734488,469301736,461399826,1111881348,1393768096
8676891,12170067,64939426,69384522,62147284,79824295,468835547,465929439,1102986950,1363595379
8134691,12035627,65264000,66823007,59973208,83888022,470017889,476304327,1087790580,1367226516
8197742,11422951,68395142,70771396,60203130,79952244,475341858,452057212,1102647458,1372924871
8611600,11120182,66004804,79054528,58074742,77051234,466040697,475556800,1118216929,1389081577
12188685,11689368,68919085,66511989,59175701,80890702,463861797,477079390,1105882653,1364403587
8496304,14805803,65018946,68999525,58335761,79981597,469639219,451623794,1103088838,1387575590
8189779,11605945,66393536,65522877,57748404,80188696,465457203,461571836,1116720439,1367668415
8296937,11242284,68899410,66507487,56511593,81712384,463747285,459630735,1112573353,1371161819
8118632,11998655,65429230,70480692,58593303,79482246,462090384,486996934,1108409242,1362851549
8703276,11687553,71508866,65415829,59658673,81417538,464433823,451583090,1099916038,1360225894
10372662,11475626,64820111,70279545,57462479,79116119,473797327,455030598,1090579905,1362269061
8501527,11559210,65374536,65802446,61564576,77194187,459544906,459636166,1098797631,1363300958
8219676,11584106,74271932,65700507,58120546,79647216,463540829,458815327,1102309160,1373129299
8133924,11674923,65216168,76670421,66255377,76893821,468396747,458016018,1112436524,1361204380
8653166,12160622,70612985,67131642,56395343,79786858,463667425,463632751,1096773030,1360297845
9003440,11621446,64921676,77115225,58168924,81326775,468731051,459681850,1071712517,1355600136
10325567,11276998,65632905,67231032,56716949,79562036,467430565,468982544,1079632588,1356289921
8302725,11115447,68824853,67058173,57212524,76775111,470909810,465051741,1105485498,1357104643
8680100,11228230,65547519,70105590,59460478,79713838,461934134,471089765,1114524775,1361706778
8119288,11133392,69500601,65992923,60753749,85925979,468272313,476291751,1096875234,1356294671
8251721,10969273,64873244,70766703,63366778,76352211,468475728,454031231,1109176943,1363673939
8137278,11030007,64817806,66057570,59212664,77871671,466526933,475182398,1106691561,1357306454
11172465,11786368,71591971,66889514,57106225,80763325,464490262,465642432,1118514471,1360110436
8452342,12373386,65394143,69360977,69159836,81677112,485719018,462283429,1110979824,1372996704
8357856,11574369,69494555,65809309,66798675,80597109,464442539,452066962,1120392753,1376390091
8484344,11494028,65458807,76669249,57343741,77513492,457412946,457794746,1109020933,1371180060
9110180,11451040,64844858,66233582,60313288,83362578,464645226,463631344,1098500405,1363073907
8875140,11356688,70036459,73000826,60025235,80091710,484079724,463960971,1099692509,1364992274
11417792,11220325,64964463,72227099,58115413,80031054,459861317,460816182,1132989092,1381853346
8297956,11120204,70156104,66316047,63527744,80999002,472225491,461398637,1109276387,1384595343
8226450,11096330,64850960,77309793,65053857,80832692,466025056,456655611,1109086089,1377214510
8604015,12486442,65706436,66920535,57166441,80571442,457630008,455617614,1099107228,1376270892
8967730,11631859,70324732,68772375,61099095,80033527,464752264,458627659,1092252305,1374238928
8439514,19635741,64677715,68862934,66516023,81618942,465995199,458193258,1104178064,1378153088
10042628,11415954,72393012,66768817,58515522,75321435,463641849,465601363,1119499372,1362870791
13725768,11731629,64809606,68918236,64146128,77446119,457164369,451593923,1123118042,1370242407
8627731,11947415,66022908,67027707,56329855,79077092,468568482,467575921,1141984796,1362269432
8762396,11561792,74915964,71047972,57002420,86128725,466545516,468412919,1093721572,1361075892
8470042,11361177,65545807,69869838,59423241,75954983,456489293,460092510,1096793822,1374482125
8209892,11802188,73978253,65346900,61897011,77273007,464586292,453098256,1100839084,1372099921
8636759,11585316,64848467,68991558,64031398,78564817,466678139,461703676,1112936451,1359417396
9912081,11251080,66429598,65938164,57855944,80386245,463707204,461773765,1091930648,1362954106
8560103,11184816,69279059,65610342,57923105,76188139,456847748,462289625,1128330011,1355259200
8088445,11033551,69795109,68574620,74947230,76000132,468322213,453757602,1114587366,1363467949
8150277,11094277,76871621,65893868,69502500,79574433,465887091,460458159,1147244822,1363587494
8256484,12625539,65999074,70079608,57474276,80629995,460846979,461004295,1107848543,1369424522
8084800,11625696,65828683,66427989,58721210,77282070,467423812,467846445,1089477315,1376022825
10695310,11539477,74116209,65574180,58664342,75740016,465310822,458501818,1097070846,1370717753
9276583,11146313,69773104,70313480,74534162,75890189,464514323,458532461,1096304951,1393941707
9431620,11268747,73453957,68029960,57107074,75747963,462655491,461144431,1121784664,1374412011
8320817,11212717,65980268,74199466,69389734,80626350,469081093,453801983,1100991610,1376851802
8145382,11040118,68051194,66598408,56920246,75833604,465643042,468760975,1104482998,1376351799
8121333,11015048,70263735,65195830,63798970,75572901,462777280,461807174,1116071703,1359998502
10465160,11804117,65790234,73813944,63190468,76824085,488691490,457746586,1099098156,1383842470
8240514,12181443,70759789,66436004,57092542,78710926,471141921,454347349,1134472006,1364427354
8129081,11476694,66415413,69695632,62655349,75816556,464854666,458782738,1132033685,1356179052
8075115,11224605,66343934,67037777,58233395,79757086,476711597,466508512,1099119544,1378840635
8142876,11168699,70453746,65568593,63585860,81299887,466985272,455575542,1105146074,1377083657
8529402,11096645,66026483,69067824,62883320,79011918,468200586,456033200,1124298574,1364097258
12628933,11151191,71652127,66760372,56930952,77145721,476350403,460112821,1105575048,1364694710
9033678,11244881,66570824,68861360,59435793,80603186,467296354,477018395,1107798711,1364168997
8441400,13717891,66264511,71799776,57972398,80490223,469302670,454484183,1094760472,1361490817
8354582,11934594,71310591,70728385,58683032,75489180,474953183,456734863,1105906723,1360589793
8166467,12104227,66780682,70560789,58843058,86850567,486169677,462588149,1093053663,1371538436
8391168,11429444,71862491,70309392,57389202,76931567,462221721,460144936,1094327911,1355547395
11197745,11188442,66820089,66453040,58057867,77142674,465850412,451906410,1115686338,1364879019
8378061,11753025,66692538,77488032,57949203,76152582,474111313,466886423,1094245937,1370080102
8334808,12057733,70733624,69796358,61031463,80713532,470314934,463920273,1115411898,1367984837
8411838,11527820,66575898,70090233,62097987,75290449,461203456,459969440,1084553575,1377863912
8200403,11337888,70985941,70067795,59321735,75871955,467742333,452712563,1121478425,1368475758
8324394,11552463,65840203,67321094,58931177,76211881,464241426,458751170,1104985497,1374171992
13998710,11782461,66749669,73644083,59024853,76197796,463503886,459135422,1097062153,1370639503
8555959,11442441,70352844,65928259,64472493,82340636,468346685,453073293,1090626375,1361679746
8204895,11230528,66462548,68473714,58280073,76410923,460445540,458299162,1106111313,1359502424
8437962,11159030,81881833,65683426,57695095,75746899,465750949,462702481,1113597685,1366061255
8096754,11633694,75506870,65034304,59376735,77567824,467773040,466282683,1111851473,1365830628
10275026,12154962,65914613,69675351,62480547,79451828,459947325,456344596,1094286534,1362500794
14421178,11513464,74249080,65452640,60400142,76283445,464788782,466444099,1099238728,1367561957
8620638,11362616,70274193,69676671,64327124,77676251,464286338,462536652,1120500269,1375716644
8301024,11152281,72685525,66440200,65563697,76414338,466375865,463634964,1100381261,1361579239
8196788,11866620,65958924,66451074,63149864,79939525,456274118,453509557,1095784585,1364654504
8189015,12161675,69839051,70850255,57884983,77493684,463536524,460907341,1133374330,1372114364
11555896,11486632,69867201,66069012,58538413,75287018,464257367,480530895,1103800403,1384864648
8313699,11462331,66541167,69695271,66732087,75744971,456150016,463708998,1103422887,1365259422
10942467,11227763,74818985,67106008,63926096,77997076,465720282,460396154,1133380587,1380726521
8412635,11235350,68957519,65707344,62720728,81360327,463305597,458413310,1114581413,1360739743
8182760,10965923,66378286,69661437,63277854,76140127,467605485,455703124,1107854863,1370106706
11700949,11629824,75966470,66949019,62923348,76004483,460530169,453257327,1117708636,1389147329
8504700,11554613,66503723,69447116,58490432,76000677,462609884,461481067,1099822397,1394048607
8473752,11643989,70911742,65991995,65500615,79464169,466524280,471081955,1119550481,1383579887
11246409,13757649,67854876,72643756,57403346,76183194,466934796,465608379,1086585523,1370656671
8279709,11411101,67608523,78804235,57280169,76183373,466653955,459867794,1088205187,1360087951
8125058,11255618,73148025,65993048,56743915,76339890,470367708,484357199,1098787105,1367533279
13124361,11722753,66625886,69043676,58357407,87161053,465062604,460667002,1152082948,1360162744
8422602,11957561,77143683,66022035,62315124,78384572,456968741,460043140,1105808025,1363475595
8330461,11628226,65790874,66121217,57166054,80893616,467719996,462825487,1115580795,1380720133
10708787,11425468,70622215,69063513,66044040,75619399,463640583,458734356,1094687662,1361680655
8887564,11843065,71467619,65716773,57155528,80842513,459466074,461705000,1114069336,1367688948
11014208,12400593,66438651,68959178,60302313,88166130,464726320,453932242,1092339378,1365527848
8153228,11544614,77310954,66075472,64917001,76354035,469641502,459083235,1115785958,1358231795
8347119,11292392,65634820,68584651,60054815,77003584,456187976,456358463,1104059965,1357450878
8120740,11118714,70132237,69420667,58465057,76871215,463192185,458430576,1101663740,1361451613
10830375,11227733,69573637,66104931,64893076,80618745,465673101,460103959,1095467396,1370175961
8279804,11026753,66973687,68580991,63411196,78461770,462417646,461005390,1109196018,1359303497
8132171,11053017,73527809,66457193,62180052,77472666,459014801,460672277,1135336198,1361138583
8142232,11166204,66046645,66316506,57528836,77055552,465824394,463675631,1114350822,1378786443
8135177,11818733,66656715,68830815,57960632,76272056,478265447,460287322,1106417492,1378576800
8125689,12761527,74309187,66045913,56953987,80860272,464966004,462225279,1110488327,1382239899
12301937,12660613,66929924,69337301,59008493,79529187,470083989,469756572,1110691090,1376365528
12419039,12368073,75327515,65736890,58058666,77116520,490987254,450384236,1110239220,1358642555
8348225,11763404,66076152,65983341,57934951,77198856,467973697,461033256,1094142555,1369187110
8308668,12177114,70431509,72068088,59119998,81970600,460461262,460284778,1111980431,1374917450
8264163,11759948,70581233,66859312,63173191,76517985,478924229,476622044,1104410328,1379156114
8453188,11414534,66630773,75171126,59700431,76974627,466650558,454661618,1121601154,1361775580
10830392,11269675,73979431,66329672,57845790,77006121,459277350,462021139,1115978008,1360769470
12777663,12469203,66125760,65547507,57595849,85772960,479580957,458313488,1097062224,1361330569
8263724,11653917,70342352,69510832,57107536,75890956,461576508,461612382,1081182151,1421901135
8356693,11316570,70458910,66186353,67458768,76635110,462414337,454610761,1105761195,1375032417
8104094,14067884,67195343,72174428,57913325,76008236,471395307,460632508,1117814210,1389324862
8166622,11287442,72517886,66972149,59166983,76075065,462888944,455898902,1109524317,1393624332
8426409,11135523,66478432,66077469,56602165,80551038,469656196,466478436,1092598624,1389654497
10712459,11168146,70769207,70260279,59021056,75959637,458196500,457069733,1114513893,1373267652
8276271,11535165,76060521,67707137,61982350,76691586,482365200,464523014,1126463037,1388865375
8269888,12892117,65905779,69473118,58787582,77876809,464035970,463007286,1095568195,1383649677
8134362,11805435,69943496,67243905,58597156,79801924,465759761,461212401,1108463389,1365364379
8141520,11383405,65929136,66727090,57379294,76851060,480318996,471525168,1078313372,1365152972
8902084,11197080,66466141,71816252,57136798,74976324,471313658,469344056,1111847414,1364930016
14744152,11243154,70789609,68571309,59922236,75678111,466298542,462843205,1127211786,1367468647
8202591,11110287,65924882,66547353,60769207,76447121,461027810,460267577,1112780330,1360968389
8210886,11188439,65830049,75413477,69812377,80946712,472312042,458407160,1159703496,1377972547
8174816,11122770,72748392,67552911,65704906,76087896,466147867,464510466,1144827527,1373911338
8167655,11116100,66756263,79136215,58782501,76645507,462225081,458767578,1134082448,1359084347
8206542,20072622,75504984,68493952,62699317,75176005,466949877,457457923,1118403440,1370282736
10670749,14973394,66276358,65562037,73513632,81635123,466448591,462205339,1128520015,1380715278
8355918,11360625,70312716,71155644,59027878,76872699,464592305,458643642,1135861279,1376468316
8078488,11294654,75382500,67408736,64392926,75402753,468670714,464395991,1120333020,1382325387
8479539,11272890,67663441,70982140,59005802,76150415,465039984,455378216,1136237121,1371343419
8989304,11203470,70758807,68283543,57481441,80826839,469478278,456794806,1210250475,1376789202
8378845,11053272,70196085,67059906,57544470,76090228,465423413,463425371,1133229787,1378158286
13001399,11069322,70337330,70764576,57898059,75390283,464578392,452880990,1309997933,1381251109
8481723,12627754,80025488,67968878,58012152,76015072,473371623,464498084,1343882677,1367898692
8264573,11649151,65665080,71522320,61875647,76513074,482944261,462219650,1357762559,1371784479
8118963,11281869,79579285,67239571,58047685,81488802,461487299,461612902,1120031174,1382767702
8146046,11236605,65651064,68299026,73330749,76652657,467855370,454429945,1148044095,1374952369
8153583,11153096,65863196,75673176,57743457,75659874,479804683,460815174,1108018384,1376148844
11274887,12028222,69016153,69893989,57668742,76393081,456015147,469653238,1122148143,1377126833
8258355,14036112,66263255,82998687,58043359,79895301,470966106,459660925,1103186888,1377091011
8649265,12164245,78547481,66588615,56730627,75941130,463958447,453808209,1156763321,1361393928
9018080,11438764,65375638,67056315,57197698,80121676,468126504,457599469,1284839369,1371863168
8419034,11430057,65880395,70803445,57440365,77220254,457942472,465476348,1099547711,1378890827
8291151,11320935,71111261,66272653,62533546,91642773,462253125,451353579,1121919013,1379849466
10830168,11115450,65862034,74429729,58258000,77335884,467142727,465351121,1096532931,1360718759
8255498,11416016,82860348,73871877,57401524,79666440,459023283,460592085,1130140821,1364816376
8863864,11259133,67349960,67401357,58503063,76835980,465821640,457934158,1108932754,1360920047
9479291,12553591,65659222,70635512,57652358,80988903,467410133,451232644,1108671104,1363249550
8365716,12338066,69096094,69537345,58236930,84047154,461054938,459155073,1107320601,1359652872
8393606,11346033,65423923,71459867,57489798,75695735,456769447,461804883,1108247768,1365616973
11367935,12340001,69389208,68076991,59110133,80944405,461876874,463715090,1102209515,1364127815
14718199,12746973,67400686,67354250,65443322,75635725,472278769,462709251,1114112581,1359760121
10656575,12397228,66205958,70760352,68247512,81198628,463206275,460132718,1122362230,1360929250
8585627,11648361,73678461,67045476,57286395,88295905,475822032,462595138,1106133424,1359311083
8105600,11314003,65712698,73203284,57106608,82551028,467411760,462916342,1102245330,1365388688
8246345,12588800,70739649,66273076,58140648,75999559,465868482,456393253,1106535260,1360601374
8243229,11801613,64970040,65809123,58076299,77430842,457099822,459934480,1143673973,1363021721
20257071,11375421,66045616,68914979,57065341,80012278,462728653,459053435,1101994981,1360241147
8156472,11240383,69816813,66369244,57146291,75964473,470642653,455550191,1092873906,1358826406
8187986,11097374,65520373,71349756,58733053,76230487,462501662,466616742,1104885785,1360476058
8111136,12127048,69954026,65506022,63665690,76612444,486471243,461680818,1128174739,1367965811
8160671,12083158,65670709,66039355,59676124,79378564,468575277,464841243,1103928769,1377049487
8052813,11533531,66215365,69997733,64263055,76695126,461903615,462410199,1105178046,1378474398
10866984,11348871,70090155,66030844,61142785,75990805,466843202,460473020,1106704559,1359120450
8217611,11410882,66092131,68986341,61205938,76103578,472357126,478681675,1100443908,1378218882
8129631,11243758,69784719,65882612,56325009,81785338,468004172,463003384,1096981295,1373574230
8184600,11039598,65521325,66158298,56474483,76597411,463568668,459052095,1113647829,1375694979
9004800,13440571,66013415,68873521,58539912,76781098,483382681,463880738,1093501106,1362114402
8491288,11189133,70850838,65965541,56982911,76019603,461808941,472664417,1072799020,1360326606
11245483,12671280,66318536,75302294,59544442,76310596,458318579,453482301,1105216748,1381444623
8223787,11994326,74398479,68302812,58198127,80081135,468187262,462960500,1115372561,1360086615
8060183,11634220,65197355,68813744,61047329,76059902,465783320,461261532,1101207926,1364956623
8196468,11390668,65637972,73413769,58444049,76304732,475131456,476328930,1099313705,1379089261
8312013,11471190,69459256,70432197,57309215,76688867,459000756,454554721,1122330495,1368626345
8283268,11236013,69847092,74593486,59051134,82237637,464987902,465386158,1119963296,1375752202
10998673,11182596,72136585,66002527,56931934,79756123,469253867,471356042,1112237341,1382913493
8341308,11055467,65539394,66106861,58490135,76275926,456942241,463527052,1106161531,1359072953
8402545,11035106,66358753,69795812,64855495,76816813,464511788,453083044,1111440530,1363393113
8710588,12225243,71049589,65567502,58937691,82969731,463974311,473192742,1099050133,1365017589
8929629,11914295,69331795,67963948,60181691,76460626,463369465,477722486,1106146236,1367640998
8353276,11432086,68915085,72771933,66833070,81308232,460216559,466026696,1099033874,1392246554
10688022,11312667,68875563,66464420,64805858,75178786,463836048,457177169,1124041510,1390648783
8378482,11247765,69080496,69822245,57256493,76884650,466207224,463489950,1156197723,1366571920
8297591,11258950,69400896,65847594,59698471,88399916,460644059,468083226,1111744926,1358865591
8110642,11097285,66492569,66622556,57886041,80712601,464745997,475198515,1101523546,1394803490
8153742,11069586,73781639,76376146,57901895,75513979,474258695,472803833,1104809693,1374551310
