neo4j_cypher,titan_bdb_untyped,titan_bdb_typed
437779,290649,645863
555111,234764,567132
18278577,409258,1226784
1660111,1250178,3140908
438815,231992,535935
1761927,999458,2166067
484711,379711,1031262
1295261,486876,1784701
2019320,724189,2936772
868057,345227,1265916
1119908,442083,1739942
349310,136854,1116294
537013,183461,832727
1090143,603482,2319816
1312819,1034887,2529792
1246806,983336,2574244
547563,368844,1326898
20304060,348359,814185
19911699,512040,1259366
1024934,776282,2087824
1917785,1245396,3088956
648640,485046,871437
23364263,121533,229825
1908864,926529,2348082
1756208,1190683,2913353
451525,225440,476973
1771556,974075,2063861
291825,154482,304223
883579,711231,2085036
990875,876816,2271801
324124,191039,393350
874224,473470,2167824
1553699,523735,2273916
674005,91080,374596
591723,233818,1014723
2013140,672475,2634756
625971,130258,635538
1240563,248931,1201911
741633,155687,784224
3322449,741280,2863663
1096255,327250,1765485
300305,82962,416839
1436149,559030,3602376
1371685,480962,2539938
715182,151190,642743
363987,194975,559078
1535232,409160,2041229
614426,82096,343578
681568,123491,611216
1823795,229418,1012150
8111434,545295,2556646
1165037,53700,273534
3357173,447798,1748390
707574,374471,2121070
871510,387244,2104604
1424715,526042,2729508
807187,224993,841050
1256463,493355,2907954
798962,178548,697446
741932,327471,2016126
364491,80862,362635
679433,321254,2042936
755991,197612,667072
17591128,268883,761987
379492,107821,468295
22695560,416312,1849075
1178111,242240,967321
264754,81884,377597
3367385,941072,3740596
436063,115240,564701
306613,133937,528644
993334,266882,892171
1688133,537202,2068259
1207650,511987,1907661
1411541,576092,2335308
571200,175057,537540
841289,390162,1631618
676332,5056748,2952274
1693231,2178935,1605345
270322,330381,479192
650431,403840,1509550
1688390,513970,1873319
1050569,440672,2072122
663271,335692,1709820
1233453,448568,2239533
493785,191723,925695
305078,121288,493214
1397702,543772,2485539
871013,370722,1569865
740770,362882,512183
450971,375432,672060
1529754,777805,1582900
1865859,760062,1783879
1004011,636501,1524394
671749,327224,1405547
21678359,197626,562787
160838,18092,69607
693607,205668,533179
19291333,647547,2099991
1126930,392878,1535355
1187107,346207,1205143
467265,113174,377105
433703,171556,3747080
1687593,609879,2542768
1208101,228438,549547
1789176,346265,715518
28124832,172611,5760276
281625,79864,209543
999786,263039,459539
445635,203735,463874
696370,415091,876406
1265020,612230,1257939
19916900,288097,269131
1774050,645396,874249
1050979,217171,337543
861385,425879,889626
383658,154008,167697
612761,318753,316681
1359740,933627,985530
985959,716320,818406
1080955,839770,963101
1048775,369213,382830
20428730,728091,1078267
23522971,636315,900589
665949,537665,846636
664599,388947,863430
762173,311555,486214
2219644,681233,1732065
595214,173868,470715
1009262,436279,1654511
735458,251977,833920
24133730,148119,511480
586087,124208,357667
1103259,473311,1436766
823027,152358,421648
1146680,474020,1019612
728967,356597,1155028
441180,172861,560519
17414397,125987,338157
895420,389625,1198384
429799,171523,646383
295317,108627,370449
678798,408516,1136268
1250120,574999,1650516
635163,273762,831236
1131259,561181,1306863
328342,162061,324241
538761,212635,529821
714150,249083,576556
26394364,435449,1081737
793170,253111,629979
784032,421197,1337813
716558,318364,809993
18019490,553389,1544459
1547382,971438,1906204
30201458,121789,249342
484368,139242,359343
727638,228195,541114
697150,339411,702362
716761,95908,348108
655369,137978,375477
589485,143014,342958
1098279,307296,727099
1325866,520701,1180796
1228659,456054,1045093
486463,97553,249556
1137089,372480,833170
686334,219166,504977
990732,417507,532046
21103190,96673,100337
1467022,329714,348138
813423,306937,336874
3192266,782864,823255
710194,306382,326418
440719,97020,99551
484981,153801,159203
17263224,267990,150319
19296424,128070,124751
1188186,478015,413457
562995,67590,67190
1511769,313514,307763
2783317,494275,523463
2608081,480092,480190
5242057,579627,576728
2376471,422769,443776
1425483,4462820,309743
