neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_gremlin_p_1K,titan_bdb_untyped_p_1K,titan_bdb_typed_p_1K,neo4j_cypher_p_10K,neo4j_gremlin_p_10K,titan_bdb_untyped_p_10K,titan_bdb_typed_p_10K
48278127,898446,2088463,2094726,50436224,1417341,2640743,2421586,59427568,6399137,27855654,23076110
48096832,2377517,4143369,3776696,44459492,957156,1964892,1845393,54273003,2382767,7137868,6264233
53340688,3238493,10861986,5232421,53723258,2030277,4716031,4139641,60079335,4934012,17750930,16077218
58878507,7543822,10564323,6832629,50828251,20315758,3895381,2966509,52888833,1674950,3275522,3165433
44121568,752545,1282468,1007291,60504810,1432011,4194866,17107559,56851075,3539040,8334906,7855725
49358957,1639097,17623688,2943032,50745528,1385714,5439419,3260705,61628316,481276,1084087,891139
57505930,2152430,4381034,3840403,49451259,951353,2456348,2098623,62283380,3652702,13141365,11875792
71497343,7500106,17753059,28709068,56243218,6788936,20240230,20186895,69889862,8085391,24901295,21632083
46610948,731959,1237087,1142934,45896389,1085850,1909322,1805778,69159418,4424217,24389151,29100164
47664768,1685905,3421903,3138484,48740368,1343190,2461797,2496954,60395464,1845058,3408815,2852068
49038411,2647996,5030335,4624168,54127642,2443282,4963207,4223887,48448524,673253,1310233,1155292
60101193,1727072,3407760,2954366,51585603,1094417,2463219,2117890,53996699,2272919,6166910,5473899
56369595,2256984,4565430,4275575,71862091,1645005,5156838,4494281,96483389,40701551,64082111,49044893
50296034,2593072,4388752,4037272,71523165,6808953,16063716,13895269,64996783,6421341,28177834,15797758
47078030,1035422,1750130,1461550,55183558,2811003,6306025,5243705,52567505,728579,1430385,1461458
46265896,814186,1554341,1372436,51074362,1630544,3609141,2919969,65630312,10134460,24850079,22759914
54723712,2981878,6439952,5239211,60360774,11593575,11226875,10183654,60311291,1481583,2450120,2323228
50978420,1603088,3412632,3293436,57111823,3489426,4999115,4245511,84399759,8122502,45338621,19855727
47673766,1636304,3841372,2404372,57460326,6723707,24802092,8923372,61968832,2009618,6958244,5982114
42378743,871240,2029449,1210429,57054757,2497867,3698198,3379032,56844071,1851550,5025194,18418840
54214999,3560445,13190702,6237100,66810091,3375682,4678592,3844273,60962724,3585137,12746925,12376495
46115803,2055652,3854490,3167379,48889741,938195,921278,845140,54491493,2426094,6695472,6086042
43660871,882799,1423323,1263794,49396504,2404937,3054302,2425516,57062312,1149573,2730506,2529960
45873368,926527,1721994,1572128,52441081,4349144,5636272,3686489,60649125,3491988,10731463,9266160
47555282,1109571,2731880,2555666,50206875,1869980,2028023,1523569,76258476,20078978,75286979,66319482
62268400,4322373,6929373,5711886,52393974,5841510,5435526,4808821,58473070,1430476,2228463,2121318
43670599,878888,16085084,1174835,54773792,5709314,5769495,4675418,59374338,4049055,15092432,14586167
46240042,783912,1600052,1172634,48758276,2610901,1782313,1487552,46002698,1624531,5237754,4892459
41653131,945924,1662676,1537421,61927266,10905331,15052825,34286412,59741429,5440589,32195979,10611550
58574815,3000462,8313207,5282967,62390064,2750809,3965791,3712154,57459449,3710830,13263829,11814347
46530342,1034062,2924731,1623872,44521802,1678037,1493122,1270266,72759522,8568316,24216260,36017338
48655801,1733942,4240447,2831389,59145456,6667889,11879300,10717168,61813198,8683647,14886539,13303459
48502345,1743893,3697026,23627107,54920468,1532183,2108553,1640645,72602629,6054523,17088896,15802855
64385419,9890577,13418358,11692610,56262150,2257978,4385987,4050105,57852945,1301659,3136688,2880743
48551887,15256171,2989846,2500275,50207114,1662054,2988568,2428615,67642218,24262234,26022343,20448677
54192552,5089429,9681314,8845406,51186534,1033497,1986632,1777820,79388454,13462241,66380171,46321211
44841444,1095723,1920491,1615379,54718153,5913413,12430933,11893162,80071683,20886534,83235221,86262879
67082510,4912888,11409646,9519654,50916749,2630639,5257398,4678956,61138573,2686130,8776897,7828187
44879640,990365,2047951,1578266,49814632,1847443,5282437,4921835,54715384,2935562,9142685,8387581
55041576,4456076,9007518,7894151,49546304,1297597,2270209,1867871,56085234,4520370,13200674,11930394
56552425,2629110,6080222,5216729,141983115,10083238,48443788,29077250,81530548,23154813,37275316,33382136
60133087,1789941,4276839,3330869,63144913,2973517,6495710,18259806,64586373,3956367,12635566,10719976
53464304,3971869,7714670,6980134,43395980,827096,1551118,1371399,53327532,1078822,2227267,1923785
66000382,4976749,26795942,8167017,86764245,7712516,15868610,12969326,55512397,577220,920897,746963
50259266,2655826,4260916,3672465,75442268,22625160,15764038,13765877,56052523,1893895,7179812,5587438
41504076,1062912,2177685,1568703,52595408,2309032,4511779,3986238,76889447,11026051,29786446,24572759
50576194,2312342,3640995,3048180,52254927,2709739,4813216,4273977,89558613,17370843,53615297,64534647
45957908,1367885,2119136,1861225,55525341,1413164,1825498,1413431,54205632,1170211,2743858,2446469
61473243,4930002,11989426,26104204,59545708,844435,20148062,951981,63382395,5988582,22828959,20825372
53387996,3053353,5066363,4739185,63958862,2134259,1244269,930125,57799227,24074101,8536864,6238643
58413677,1890622,3634439,3286185,49166731,2063723,3734171,2886609,64313723,5847019,32592769,12609050
63759402,3963068,10842745,8745957,53328194,1081237,2052061,1730485,52147266,2728092,9705522,8560598
51198488,2390342,5445880,4809169,49435894,766706,1529119,1432964,59172784,5454546,12358867,10347794
51828543,2443541,5245051,4313970,58610427,3071791,6212531,5560418,57576479,1111882,2096994,1985235
60027965,4716731,11596329,10903314,44767389,1088486,2273223,2299168,51559401,502375,629127,591566
51077008,1533791,2662684,2529827,54574996,2649478,5255936,5135079,44993580,1055575,3120578,2793507
55136387,4302337,21600785,5300454,54772802,4360826,12453341,11589878,53443198,1298320,2779011,2475739
62487217,2313038,5272222,4323995,57636128,1341021,2771550,2300267,59639838,1068110,2097376,1792417
49851832,2180601,4960186,3473971,50768744,1300116,2543799,2069416,67568523,7628437,25324818,22031231
53115443,3108444,4454870,4550603,65215879,1753176,3861613,3060340,55713812,2208020,9544005,21486682
54389246,1784044,3569862,2918623,55870577,2010865,5005159,4642452,61104180,3149818,13715278,9719009
62112489,2755214,4996194,4568916,52325394,1582484,3690485,3819632,50890815,1374532,3083830,2847240
53263258,1557622,3428444,2532693,57120060,3207875,7972533,6808692,53412233,1849483,5019732,4430941
55824054,4167933,7494329,6231701,78152618,12727837,32090695,38844534,60849346,5366370,15246063,13779757
48083978,2605856,2832054,21373558,50119467,1002491,1705508,1272714,54626900,710981,1356850,1198010
50480848,2508062,3111381,3157347,49343895,454260,836968,661445,49210820,4232194,15230543,13826187
46227811,1371222,1474349,1491135,44847578,1128108,21053598,1245702,54775400,628629,437470,414174
48170923,2129137,2965412,2600146,61464714,2435657,6663291,5821586,54966406,1004211,1773812,1553697
